Real Time,Elapsed Time,Event
1745189637.4629152,0.000,Start Trial 11 - Left
1745189639.4646742,2.002,Start Flashing - Left
1745189639.4646742,2.002,"Flash ['Right', 'Forward']"
1745189639.667985,2.205,"Flash ['Backward', 'Left']"
1745189639.8706682,2.408,"Flash ['Left', 'Right']"
1745189640.0727744,2.610,"Flash ['Right', 'Backward']"
1745189640.2745316,2.812,"Flash ['Right', 'Forward']"
1745189640.4767327,3.014,"Flash ['Right', 'Backward']"
1745189640.6791518,3.216,"Flash ['Backward', 'Forward']"
1745189640.8812075,3.418,"Flash ['Forward', 'Right']"
1745189641.083973,3.621,"Flash ['Backward', 'Left']"
1745189641.285797,3.823,"Flash ['Backward', 'Forward']"
1745189641.4886875,4.026,"Flash ['Forward', 'Left']"
1745189641.6908627,4.228,"Flash ['Forward', 'Left']"
1745189641.8936417,4.431,"Flash ['Backward', 'Right']"
1745189642.0963712,4.633,"Flash ['Backward', 'Forward']"
1745189642.297914,4.835,"Flash ['Forward', 'Backward']"
1745189642.5002298,5.037,"Flash ['Left', 'Right']"
1745189642.7027216,5.240,"Flash ['Right', 'Backward']"
1745189642.905352,5.442,"Flash ['Backward', 'Left']"
1745189643.1071346,5.644,"Flash ['Forward', 'Right']"
1745189643.3094563,5.847,"Flash ['Backward', 'Right']"
1745189643.5109289,6.048,"Flash ['Backward', 'Right']"
1745189643.7138057,6.251,"Flash ['Backward', 'Left']"
1745189643.9153519,6.452,"Flash ['Left', 'Backward']"
1745189644.1179447,6.655,"Flash ['Left', 'Forward']"
1745189644.3209305,6.858,"Flash ['Left', 'Right']"
1745189644.522818,7.060,"Flash ['Backward', 'Left']"
1745189644.7251165,7.262,"Flash ['Forward', 'Left']"
1745189644.928011,7.465,"Flash ['Right', 'Backward']"
1745189645.1306806,7.668,"Flash ['Left', 'Backward']"
1745189645.3330147,7.870,"Flash ['Left', 'Backward']"
1745189645.5344563,8.072,"Flash ['Right', 'Forward']"
1745189645.7365177,8.274,"Flash ['Backward', 'Forward']"
1745189645.9390903,8.476,"Flash ['Right', 'Forward']"
1745189646.1416013,8.679,"Flash ['Backward', 'Left']"
1745189646.343764,8.881,"Flash ['Forward', 'Left']"
1745189646.5465872,9.084,"Flash ['Forward', 'Right']"
1745189646.748197,9.285,"Flash ['Backward', 'Left']"
1745189646.9514287,9.489,"Flash ['Backward', 'Right']"
1745189647.153258,9.690,"Flash ['Right', 'Backward']"
1745189647.3547246,9.892,"Flash ['Right', 'Forward']"
1745189647.5568535,10.094,"Flash ['Right', 'Backward']"
1745189647.7600334,10.297,"Flash ['Backward', 'Right']"
1745189647.9616697,10.499,"Flash ['Forward', 'Backward']"
1745189648.1644607,10.702,"Flash ['Left', 'Forward']"
1745189648.3663754,10.903,"Flash ['Left', 'Backward']"
1745189648.5689495,11.106,"Flash ['Right', 'Backward']"
1745189648.7716067,11.309,"Flash ['Forward', 'Backward']"
1745189648.973887,11.511,"Flash ['Left', 'Backward']"
1745189649.1757653,11.713,"Flash ['Forward', 'Backward']"
1745189649.3784187,11.916,"Flash ['Forward', 'Left']"
1745189649.5806203,12.118,End Flashing - Left
1745189659.5813138,22.118,Baseline - Left
1745189659.5813138,22.118,End Trial 11 - Left
