Real Time,Elapsed Time,Event
1745189526.8742747,0.000,Start Trial 6 - Backward
1745189528.8760052,2.002,Start Flashing - Backward
1745189528.8770125,2.003,"Flash ['Forward', 'Left']"
1745189529.0787446,2.204,"Flash ['Left', 'Forward']"
1745189529.2808676,2.407,"Flash ['Backward', 'Right']"
1745189529.4829388,2.609,"Flash ['Forward', 'Backward']"
1745189529.6849132,2.811,"Flash ['Backward', 'Right']"
1745189529.8868833,3.013,"Flash ['Left', 'Backward']"
1745189530.0899365,3.216,"Flash ['Backward', 'Left']"
1745189530.29146,3.417,"Flash ['Backward', 'Left']"
1745189530.4949005,3.621,"Flash ['Left', 'Forward']"
1745189530.6971416,3.823,"Flash ['Forward', 'Right']"
1745189530.8988965,4.025,"Flash ['Right', 'Forward']"
1745189531.1015024,4.227,"Flash ['Left', 'Right']"
1745189531.304942,4.431,"Flash ['Left', 'Forward']"
1745189531.5063648,4.632,"Flash ['Forward', 'Right']"
1745189531.7090793,4.835,"Flash ['Right', 'Backward']"
1745189531.9119809,5.038,"Flash ['Right', 'Backward']"
1745189532.1140778,5.240,"Flash ['Backward', 'Right']"
1745189532.3170774,5.443,"Flash ['Left', 'Backward']"
1745189532.5188615,5.645,"Flash ['Backward', 'Forward']"
1745189532.7210026,5.847,"Flash ['Forward', 'Backward']"
1745189532.9237144,6.049,"Flash ['Left', 'Right']"
1745189533.1253107,6.251,"Flash ['Forward', 'Right']"
1745189533.3279653,6.454,"Flash ['Backward', 'Right']"
1745189533.5299046,6.656,"Flash ['Forward', 'Backward']"
1745189533.7322705,6.858,"Flash ['Right', 'Forward']"
1745189533.9342976,7.060,"Flash ['Forward', 'Left']"
1745189534.1368477,7.263,"Flash ['Backward', 'Forward']"
1745189534.3386133,7.464,"Flash ['Forward', 'Left']"
1745189534.5407474,7.666,"Flash ['Right', 'Left']"
1745189534.7442374,7.870,"Flash ['Left', 'Backward']"
1745189534.9456704,8.071,"Flash ['Right', 'Left']"
1745189535.1483252,8.274,"Flash ['Right', 'Left']"
1745189535.350806,8.477,"Flash ['Left', 'Right']"
1745189535.5530918,8.679,"Flash ['Left', 'Backward']"
1745189535.7558942,8.882,"Flash ['Forward', 'Right']"
1745189535.9573622,9.083,"Flash ['Right', 'Backward']"
1745189536.1606429,9.286,"Flash ['Backward', 'Left']"
1745189536.3621829,9.488,"Flash ['Backward', 'Left']"
1745189536.565013,9.691,"Flash ['Left', 'Right']"
1745189536.7674053,9.893,"Flash ['Right', 'Backward']"
1745189536.9688835,10.095,"Flash ['Left', 'Forward']"
1745189537.1718903,10.298,"Flash ['Backward', 'Left']"
1745189537.3740125,10.500,"Flash ['Forward', 'Right']"
1745189537.5769193,10.703,"Flash ['Left', 'Backward']"
1745189537.7792993,10.905,"Flash ['Right', 'Forward']"
1745189537.980971,11.107,"Flash ['Backward', 'Left']"
1745189538.1828763,11.309,"Flash ['Left', 'Backward']"
1745189538.385203,11.511,"Flash ['Forward', 'Left']"
1745189538.587195,11.713,"Flash ['Right', 'Forward']"
1745189538.7891026,11.915,"Flash ['Right', 'Backward']"
1745189538.9911954,12.117,End Flashing - Backward
1745189548.9921448,22.118,Baseline - Backward
1745189548.9921448,22.118,End Trial 6 - Backward
