Real Time,Elapsed Time,Event
1745189703.816443,0.000,Start Trial 14 - Left
1745189705.8182006,2.002,Start Flashing - Left
1745189705.8192158,2.003,"Flash ['Left', 'Backward']"
1745189706.0203767,2.204,"Flash ['Backward', 'Right']"
1745189706.223982,2.408,"Flash ['Left', 'Backward']"
1745189706.4262047,2.610,"Flash ['Backward', 'Forward']"
1745189706.628201,2.812,"Flash ['Left', 'Backward']"
1745189706.8305748,3.014,"Flash ['Backward', 'Right']"
1745189707.0332866,3.217,"Flash ['Backward', 'Left']"
1745189707.2353284,3.419,"Flash ['Left', 'Right']"
1745189707.4381518,3.622,"Flash ['Left', 'Right']"
1745189707.6401875,3.824,"Flash ['Forward', 'Backward']"
1745189707.8425956,4.026,"Flash ['Backward', 'Left']"
1745189708.045236,4.229,"Flash ['Left', 'Forward']"
1745189708.247851,4.431,"Flash ['Right', 'Left']"
1745189708.450198,4.634,"Flash ['Left', 'Right']"
1745189708.6522958,4.836,"Flash ['Right', 'Forward']"
1745189708.8537865,5.037,"Flash ['Right', 'Forward']"
1745189709.056185,5.240,"Flash ['Forward', 'Left']"
1745189709.2582896,5.442,"Flash ['Backward', 'Forward']"
1745189709.4608083,5.644,"Flash ['Forward', 'Right']"
1745189709.6634307,5.847,"Flash ['Left', 'Forward']"
1745189709.8664951,6.050,"Flash ['Backward', 'Left']"
1745189710.069053,6.253,"Flash ['Left', 'Forward']"
1745189710.2706137,6.454,"Flash ['Right', 'Backward']"
1745189710.4732516,6.657,"Flash ['Backward', 'Left']"
1745189710.67561,6.859,"Flash ['Backward', 'Forward']"
1745189710.8777344,7.061,"Flash ['Backward', 'Forward']"
1745189711.0793855,7.263,"Flash ['Forward', 'Backward']"
1745189711.281989,7.466,"Flash ['Left', 'Backward']"
1745189711.4845538,7.668,"Flash ['Forward', 'Right']"
1745189711.6862702,7.870,"Flash ['Forward', 'Left']"
1745189711.889297,8.073,"Flash ['Forward', 'Left']"
1745189712.0917578,8.275,"Flash ['Right', 'Forward']"
1745189712.293586,8.477,"Flash ['Left', 'Forward']"
1745189712.496163,8.680,"Flash ['Left', 'Right']"
1745189712.70013,8.884,"Flash ['Backward', 'Left']"
1745189712.902125,9.086,"Flash ['Right', 'Left']"
1745189713.1046324,9.288,"Flash ['Backward', 'Forward']"
1745189713.3064892,9.490,"Flash ['Forward', 'Left']"
1745189713.5090559,9.693,"Flash ['Left', 'Backward']"
1745189713.7122724,9.896,"Flash ['Right', 'Left']"
1745189713.914377,10.098,"Flash ['Forward', 'Backward']"
1745189714.116335,10.300,"Flash ['Right', 'Backward']"
1745189714.3183877,10.502,"Flash ['Left', 'Forward']"
1745189714.5218055,10.705,"Flash ['Left', 'Right']"
1745189714.7244554,10.908,"Flash ['Left', 'Backward']"
1745189714.926601,11.110,"Flash ['Backward', 'Left']"
1745189715.1284277,11.312,"Flash ['Forward', 'Backward']"
1745189715.3306868,11.514,"Flash ['Right', 'Forward']"
1745189715.5331607,11.717,"Flash ['Backward', 'Forward']"
1745189715.734884,11.918,"Flash ['Backward', 'Right']"
1745189715.9368913,12.120,End Flashing - Left
1745189725.9374506,22.121,Baseline - Left
1745189725.9374506,22.121,End Trial 14 - Left
