Real Time,Elapsed Time,Event
1745259162.3916492,0.000,Start Trial 15 - Left
1745259164.3937874,2.002,Start Flashing - Left
1745259164.3948026,2.003,Flash [Left]
1745259164.7963834,2.405,Flash [Right]
1745259165.199118,2.807,Flash [Backward]
1745259165.601522,3.210,Flash [Forward]
1745259166.0027418,3.611,Flash [Right]
1745259166.4050488,4.013,Flash [Right]
1745259166.80708,4.415,Flash [Right]
1745259167.2098358,4.818,Flash [Left]
1745259167.611733,5.220,Flash [Backward]
1745259168.0147812,5.623,Flash [Backward]
1745259168.4169688,6.025,Flash [Backward]
1745259168.8193505,6.428,Flash [Backward]
1745259169.2218878,6.830,Flash [Backward]
1745259169.6240857,7.232,Flash [Forward]
1745259170.0270774,7.635,Flash [Left]
1745259170.428822,8.037,Flash [Left]
1745259170.831229,8.440,Flash [Forward]
1745259171.234079,8.842,Flash [Backward]
1745259171.6359,9.244,Flash [Right]
1745259172.0380254,9.646,Flash [Backward]
1745259172.4404647,10.049,Flash [Left]
1745259172.842253,10.451,Flash [Left]
1745259173.2450323,10.853,Flash [Right]
1745259173.6470942,11.255,Flash [Right]
1745259174.0492966,11.658,Flash [Forward]
1745259174.4506264,12.059,End Flashing - Left
1745259184.4511034,22.059,Baseline - Left
1745259184.4511034,22.059,End Trial 15 - Left
