Real Time,Elapsed Time,Event
1745447321.4852226,0.000,Start Trial 20 - Right
1745447323.48819,2.003,Start Flashing - Right
1745447323.489207,2.004,Flash [Left]
1745447323.8904245,2.405,Flash [Forward]
1745447324.293157,2.808,Flash [Backward]
1745447324.6951838,3.210,Flash [Forward]
1745447325.0976517,3.612,Flash [Forward]
1745447325.500153,4.015,Flash [Left]
1745447325.9027963,4.418,Flash [Backward]
1745447326.3056395,4.820,Flash [Right]
1745447326.7077112,5.222,Flash [Right]
1745447327.1102731,5.625,Flash [Left]
1745447327.5125134,6.027,Flash [Forward]
1745447327.914612,6.429,Flash [Left]
1745447328.316924,6.832,Flash [Left]
1745447328.719416,7.234,Flash [Backward]
1745447329.1215591,7.636,Flash [Forward]
1745447329.5237927,8.039,Flash [Left]
1745447329.9265728,8.441,Flash [Backward]
1745447330.3283188,8.843,Flash [Right]
1745447330.7303584,9.245,Flash [Right]
1745447331.1325586,9.647,Flash [Right]
1745447331.5353045,10.050,Flash [Right]
1745447331.9376326,10.452,Flash [Right]
1745447332.3394783,10.854,Flash [Forward]
1745447332.7416139,11.256,Flash [Backward]
1745447333.1430807,11.658,Flash [Left]
1745447333.5452414,12.060,End Flashing - Right
1745447343.5459254,22.061,Baseline - Right
1745447343.5459254,22.061,End Trial 20 - Right
