EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
343747.200,317528.700,750000.100,750000.100,750000.100,750000.100,696877.300,750000.100,0.000
342924.200,316965.400,750000.100,750000.100,750000.100,750000.100,691718.600,750000.100,0.000
342195.200,316517.800,749757.000,749818.000,749526.600,750000.100,686883.600,750000.100,0.000
340640.800,315156.100,748014.800,748075.800,747785.000,748281.300,681278.000,748685.100,0.000
339063.800,313721.300,746361.200,746422.500,746132.200,746627.100,675591.700,747031.200,0.000
338323.000,313188.700,744826.300,744888.000,744598.100,745091.900,670845.500,745496.300,0.000
337851.500,312974.300,743366.300,743428.400,743138.900,743631.800,666601.600,744035.900,0.000
336609.500,311921.400,741921.100,741982.900,741694.500,742186.100,661681.700,742590.200,0.000
335108.800,310538.300,740534.400,740595.900,740308.300,740799.100,656423.600,741202.500,0.000
334403.000,310007.700,739256.300,739317.600,739030.300,739519.800,652006.100,739923.900,0.000
334151.300,309999.400,738057.100,738118.600,737831.500,738320.900,648261.700,738724.600,0.000
333244.500,309281.600,736869.000,736930.500,736644.100,737131.900,643998.900,737535.800,0.000
331818.500,307948.400,735702.700,735764.300,735478.800,735965.300,639142.400,736369.400,0.000
331082.400,307338.600,734632.300,734693.500,734408.900,734894.800,634972.300,735298.700,0.000
330973.100,307432.200,733647.600,733708.500,733424.200,733909.600,631621.100,734313.500,0.000
330346.700,306967.600,732662.400,732723.600,732439.800,732924.400,627906.900,733328.100,0.000
329037.400,305712.600,731685.600,731746.900,731463.400,731947.200,623449.800,732351.400,0.000
328253.300,305003.300,730787.000,730847.900,730564.500,731047.600,619467.800,731452.100,0.000
328206.600,305124.800,729965.600,730026.300,729744.100,730226.400,616370.900,730630.600,0.000
327848.800,304922.800,729153.400,729214.600,728932.800,729414.300,613154.500,729819.000,0.000
326667.500,303784.000,728332.500,728393.800,728112.300,728593.300,609085.700,728997.700,0.000
325819.900,302976.000,727574.600,727635.400,727354.300,727835.100,605252.000,728239.600,0.000
325798.600,303087.400,726891.800,726953.000,726671.700,727152.300,602333.300,727557.200,0.000
325690.500,303136.300,726228.700,726289.800,726009.000,726488.800,599518.100,726893.900,0.000
324680.800,302181.100,725546.400,725607.200,725327.000,725806.300,595831.900,726211.300,0.000
323766.300,301285.300,724904.300,724964.900,724684.800,725164.000,592129.600,725569.100,0.000
323732.600,301355.500,724341.500,724402.000,724122.700,724601.100,589359.800,725006.400,0.000
323806.700,301581.000,723799.400,723859.800,723580.600,724058.600,586883.000,724463.900,0.000
322993.900,300830.400,723229.300,723289.600,723010.600,723487.900,583588.200,723893.400,0.000
322038.400,299877.200,722684.300,722744.600,722465.800,722943.000,580036.200,723348.500,0.000
321940.200,299865.500,722216.900,722277.800,721998.800,722475.300,577344.800,722881.600,0.000
322158.200,300245.000,721777.800,721838.900,721560.200,722036.500,575138.100,722442.900,0.000
321564.400,299745.100,721307.600,721368.400,721089.900,721566.100,572236.700,721972.600,0.000
320567.800,298763.500,720842.900,720903.500,720625.600,721101.400,568837.400,721507.800,0.000
320382.200,298656.500,720452.800,720513.400,720235.400,720710.900,566198.900,721117.900,0.000
320694.600,299130.600,720100.800,720161.000,719883.100,720358.400,564198.600,720765.600,0.000
320312.200,298855.400,719712.400,719772.800,719495.400,719969.900,561637.900,720377.400,0.000
319320.500,297864.000,719317.100,719377.400,719100.300,719574.100,558404.600,719982.300,0.000
318987.000,297573.900,718979.800,719039.800,718762.800,719236.800,555762.500,719644.800,0.000
319323.800,298047.700,718689.200,718749.100,718471.800,718945.900,553908.000,719354.100,0.000
319191.600,298029.000,718383.300,718443.700,718166.400,718640.200,551745.800,719048.100,0.000
318251.000,297086.200,718046.900,718107.100,717830.300,718304.300,548736.500,718712.300,0.000
317789.400,296643.200,717756.700,717817.200,717540.400,718014.100,546093.200,718422.600,0.000
318118.200,297090.300,717520.200,717580.400,717304.000,717777.100,544308.600,718186.000,0.000
318177.500,297270.000,717268.100,717328.300,717051.500,717524.600,542416.800,717933.800,0.000
317330.900,296426.900,716985.400,717045.900,716769.400,717242.100,539642.200,717651.400,0.000
316755.800,295839.600,716738.300,716798.900,716523.100,716995.100,537020.400,717405.200,0.000
317036.200,296206.600,716543.600,716604.300,716328.200,716800.800,535276.000,717210.800,0.000
317271.300,296561.300,716346.200,716406.600,716131.000,716603.300,533649.400,717013.100,0.000
316547.000,295844.300,716104.700,716164.800,715889.100,716361.300,531122.400,716771.600,0.000
315849.400,295108.400,715884.800,715945.300,715669.200,716140.800,528495.300,716551.800,0.000
316058.300,295383.300,715728.100,715787.800,715512.400,715983.800,526768.700,716395.000,0.000
316422.400,295868.100,715573.300,715633.100,715357.700,715829.300,525358.000,716240.400,0.000
315875.400,295343.500,715373.300,715432.800,715157.600,715629.100,523122.100,716040.700,0.000
315094.700,294517.100,715179.300,715238.900,714964.100,715435.000,520542.500,715846.900,0.000
315167.100,294633.800,715041.800,715101.600,714826.500,715297.500,518758.200,715709.600,0.000
315641.900,295231.600,714932.200,714992.200,714717.400,715188.000,517518.300,715600.200,0.000
315295.100,294936.900,714773.100,714832.700,714557.900,715028.400,515585.900,715441.200,0.000
314448.300,294042.900,714595.400,714654.900,714380.200,714850.800,513058.700,715264.000,0.000
314387.800,294002.700,714480.600,714539.700,714265.100,714735.600,511235.800,715148.800,0.000
314893.700,294620.400,714395.700,714455.300,714181.200,714651.400,510086.000,715064.400,0.000
314742.700,294537.500,714264.600,714324.300,714050.000,714520.400,508416.800,714934.000,0.000
313892.600,293643.300,714109.100,714169.100,713894.400,714365.200,505994.600,714778.900,0.000
313680.900,293426.500,714004.900,714064.600,713790.000,714260.800,504097.800,714674.800,0.000
314191.600,294036.100,713941.700,714001.800,713727.000,714197.400,503002.500,714611.800,0.000
314239.800,294165.100,713844.400,713903.900,713629.400,714100.000,501604.100,714514.500,0.000
313431.700,293317.800,713707.900,713767.400,713493.600,713963.600,499328.700,714378.400,0.000
313056.100,292913.500,713609.300,713668.800,713395.100,713864.800,497357.400,714280.200,0.000
313505.900,293445.400,713559.000,713618.200,713344.300,713814.300,496254.400,714229.800,0.000
313741.700,293779.700,713491.100,713550.000,713276.300,713746.300,495102.700,714161.600,0.000
313034.600,293051.400,713373.600,713432.800,713158.800,713628.800,493021.200,714044.100,0.000
312529.800,292505.900,713283.000,713342.200,713068.100,713538.200,491006.400,713953.800,0.000
312891.900,292933.900,713243.600,713302.300,713028.600,713498.400,489867.800,713914.100,0.000
313264.600,293413.900,713194.800,713253.400,712980.200,713449.700,488891.200,713865.900,0.000
312687.900,292834.900,713095.700,713154.400,712881.500,713350.800,487021.200,713767.600,0.000
312056.800,292155.600,713007.200,713066.200,712793.100,713262.300,484968.800,713679.200,0.000
312306.500,292453.000,712972.900,713031.800,712758.600,713228.000,483771.600,713645.000,0.000
312787.500,293041.200,712943.000,713001.800,712728.300,713197.800,482945.800,713615.100,0.000
312383.300,292657.000,712861.900,712920.600,712647.300,713116.700,481321.000,713534.300,0.000
311666.800,291884.800,712778.500,712836.800,712563.800,713033.400,479270.300,713450.800,0.000
311787.600,292033.100,712748.600,712806.600,712533.600,713003.100,477991.500,713420.600,0.000
312333.800,292683.600,712733.100,712791.600,712518.100,712987.500,477258.600,713405.700,0.000
312116.300,292507.300,712671.600,712729.800,712456.500,712925.900,475884.200,713344.200,0.000
311344.400,291681.600,712587.800,712646.100,712373.600,712842.700,473868.400,713261.000,0.000
311301.800,291640.800,712556.600,712614.900,712342.400,712811.500,472487.800,713230.300,0.000
311855.700,292293.200,712550.100,712608.900,712336.100,712805.100,471791.900,713224.200,0.000
311837.300,292336.600,712508.900,712567.200,712294.700,712763.800,470667.400,713182.800,0.000
311079.600,291532.200,712436.400,712494.300,712221.800,712690.900,468745.100,713110.000,0.000
310870.700,291306.400,712396.200,712454.400,712182.100,712651.200,467246.600,713070.700,0.000
311399.500,291917.700,712397.800,712456.400,712183.800,712652.900,466553.300,713072.700,0.000
311559.900,292151.500,712372.800,712430.700,712158.500,712627.400,465646.800,713047.300,0.000
310839.800,291393.500,712303.200,712361.200,712089.300,712558.000,463838.200,712978.400,0.000
310491.100,291011.600,712267.300,712325.200,712053.500,712522.100,462266.100,712942.100,0.000
310943.000,291529.600,712269.500,712327.400,712055.200,712524.200,461524.400,712944.500,0.000
311248.300,291921.000,712255.000,712313.100,712040.600,712509.600,460791.400,712929.900,0.000
310642.300,291296.900,712197.900,712255.700,711983.600,712452.700,459168.600,712873.300,0.000
310151.800,290760.100,712155.900,712213.400,711941.600,712410.600,457520.400,712831.300,0.000
310503.700,291162.600,712158.300,712216.100,711944.300,712412.700,456711.100,712834.100,0.000
310936.400,291688.800,712158.400,712215.700,711944.400,712412.800,456126.400,712834.600,0.000
310454.700,291208.900,712108.100,712164.900,711894.000,712362.600,454687.400,712783.900,0.000
309834.200,290535.900,712057.700,712114.400,711843.800,712312.400,452977.200,712733.700,0.000
310076.300,290811.100,712061.500,712117.900,711847.100,712315.900,452088.100,712737.600,0.000
310598.300,291428.400,712073.900,712130.400,711859.200,712328.100,451615.900,712749.900,0.000
310280.100,291130.000,712035.100,712091.100,711820.500,712289.300,450393.800,712711.100,0.000
309595.500,290391.500,711986.600,712042.700,711771.900,712240.800,448691.400,712662.900,0.000
309684.400,290494.700,711982.300,712038.400,711767.600,712236.300,447690.100,712658.900,0.000
310234.700,291135.200,711996.300,712052.600,711781.800,712250.400,447257.000,712673.000,0.000
310095.700,291037.200,711968.600,712025.100,711754.100,712222.400,446255.800,712645.200,0.000
309368.200,290260.000,711917.500,711973.600,711703.100,712171.400,444577.700,712594.600,0.000
309307.000,290192.400,711908.400,711964.300,711694.300,712162.800,443459.200,712585.800,0.000
309871.500,290839.100,711932.000,711987.100,711716.900,712185.400,443058.100,712608.900,0.000
309923.800,290947.000,711918.600,711974.100,711704.000,712172.500,442278.900,712595.900,0.000
309186.300,290165.200,711860.600,711916.100,711646.300,712114.400,440652.100,712538.500,0.000
308973.800,289928.100,711847.100,711902.400,711632.400,712100.600,439428.300,712524.600,0.000
309508.800,290533.300,711873.700,711928.700,711658.900,712127.300,439011.300,712551.100,0.000
309728.000,290823.400,711873.300,711928.200,711658.500,712127.000,438421.800,712550.900,0.000
309057.100,290120.100,711823.200,711878.100,711608.900,712076.900,436923.300,712501.400,0.000
308682.500,289705.800,711800.900,711856.000,711586.600,712054.900,435584.700,712479.500,0.000
309131.500,290211.800,711822.400,711877.400,711607.700,712076.300,435089.600,712500.900,0.000
309488.300,290649.800,711826.600,711881.300,711612.400,712080.900,434647.800,712505.200,0.000
308925.500,290068.100,711781.600,711836.100,711567.400,712035.900,433310.000,712460.200,0.000
308431.000,289521.600,711755.300,711809.600,711540.900,712009.800,431901.300,712434.100,0.000
308795.300,289924.700,711777.800,711832.600,711564.100,712032.400,431344.300,712457.100,0.000
309266.800,290482.700,711797.600,711851.900,711583.200,712051.400,431041.300,712476.600,0.000
308832.600,290049.800,711758.500,711812.700,711543.900,712012.400,429880.500,712437.700,0.000
308230.000,289392.900,711722.400,711776.300,711507.600,711976.400,428415.500,712402.000,0.000
308451.800,289636.700,711736.700,711790.700,711522.300,711991.000,427733.400,712416.400,0.000
308996.300,290269.500,711759.100,711813.300,711544.900,712013.500,427502.500,712438.800,0.000
308742.200,290039.900,711735.600,711789.400,711521.100,711989.400,426567.500,712414.900,0.000
308063.800,289305.600,711696.000,711749.400,711481.600,711950.100,425089.200,712375.700,0.000
308138.100,289384.300,711703.900,711757.200,711489.300,711957.900,424287.400,712383.600,0.000
308712.800,290045.800,711731.600,711785.200,711516.500,711985.300,424093.100,712411.800,0.000
308620.000,289992.300,711713.600,711767.000,711499.100,711967.400,423351.300,712393.600,0.000
307903.900,289223.900,711669.800,711723.000,711455.400,711923.700,421891.000,712349.800,0.000
307837.400,289148.300,711672.800,711726.200,711458.200,711926.400,420979.400,712353.100,0.000
308416.700,289803.000,711705.900,711759.700,711491.400,711959.800,420797.600,712386.300,0.000
308512.800,289950.500,711704.100,711757.000,711489.400,711957.800,420260.200,712384.100,0.000
307801.300,289191.300,711656.300,711708.800,711442.000,711909.900,418849.300,712336.900,0.000
307576.000,288936.900,711643.800,711696.800,711429.600,711897.800,417796.000,712324.900,0.000
308139.200,289570.100,711676.200,711729.300,711462.100,711930.600,417604.200,712357.400,0.000
308414.600,289917.700,711686.800,711739.800,711472.600,711941.200,417273.500,712367.800,0.000
307724.200,289187.900,711642.600,711695.400,711428.600,711896.800,415942.600,712323.700,0.000
307343.500,288758.100,711627.400,711679.900,711413.700,711881.400,414771.200,712308.600,0.000
307847.100,289313.800,711659.800,711712.200,711445.500,711913.600,414512.500,712341.000,0.000
308262.400,289807.600,711675.900,711728.600,711461.700,711929.800,414322.300,712357.600,0.000
307673.000,289192.800,711633.800,711686.100,711419.800,711887.900,413140.700,712315.800,0.000
307144.100,288606.600,711607.300,711658.800,711393.100,711861.800,411865.200,712289.400,0.000
