EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8
328220.5,304007.1,740288.8,740349.6,740060.9,740550.5,449639.2,740990.6
327119.7,303114.5,738980.8,739041.6,738753.4,739242.3,446376.9,739681.9
326014.2,302224.5,737737.3,737798.1,737510.4,737998.5,443068.7,738438
325395.3,301782,736582.3,736643.1,736356,736842.6,440327.1,737282.3
324940.3,301475.8,735482.1,735542.8,735256.8,735742.1,437879.5,736181.3
324072.6,300778.1,734400.8,734461.2,734176.1,734661,435060.1,735099.6
323045.7,299941.4,733358.3,733418.7,733134.1,733618.8,432027.5,734056.8
322478.7,299530.9,732396,732456.9,732172.4,732656.1,429503.4,733094.2
322167.9,299350,731491,731552,731267.6,731750.4,427367,732188.9
321488.2,298816.1,730592.8,730653.4,730369.2,730851.8,424917.7,731289.8
320536.8,298036.3,729721.8,729782.6,729498.7,729980.6,422147.8,730418.5
319984.6,297627.2,728918.6,728979.6,728696.3,729177,419788.4,729615.1
319759.9,297512,728166.3,728227.3,727944.1,728424.7,417876.8,728862.8
319274.8,297148.9,727426.6,727487.7,727204.9,727685.3,415780.4,728123.4
318395.8,296422.8,726695.8,726756.3,726474.1,726953.7,413242.6,727391.6
317834.8,295996.7,726022.9,726083.6,725801.6,726280.6,411012.5,726718.6
317661.1,295922.3,725402.8,725463.4,725182.1,725660.4,409280.9,726098.3
317349,295707.3,724796.4,724857.1,724575.8,725053.9,407492.7,725491.9
316568.5,295059.4,724186.8,724247,723966.1,724444.1,405205.2,724881.6
315990,294606.8,723620.4,723680.8,723400.3,723877.3,403077.3,724314.8
315841.3,294548.8,723104.6,723165,722884.9,723361.5,401470.2,723798.9
315656.5,294447.8,722606.4,722666.9,722386.9,722862.9,399927.1,723300.4
315004.2,293914,722101.8,722162.4,721882.6,722358.3,397896,722795.9
314408.5,293439.6,721624.3,721684.7,721405.2,721880.8,395864.7,722318.2
314266.2,293382.6,721199.4,721260.4,720980.9,721455.8,394358.6,721893.5
314181.2,293367.2,720789,720849.6,720570.5,721045.1,393015.5,721482.7
313632,292918.1,720364.1,720424.3,720145.6,720619.9,391203.7,721057.4
313018.5,292420.7,719960.2,720020.8,719742.2,720216.3,389260.8,720653.7
312853.2,292335.1,719606.3,719667.1,719388.4,719862.2,387809.8,720299.8
312862.4,292400.3,719275.9,719336.8,719058.2,719531.9,386642.4,719969.7
312450.1,292073,718925.9,718986.3,718708.1,719182.3,385076.1,719619.6
311836.1,291566.5,718582.7,718643.3,718365.1,718838.7,383229,719276.5
311644.9,291449.4,718285.9,718346.5,718068.6,718541.6,381821.4,718979.8
311711.7,291569.6,718017.6,718078.1,717800.4,718273.3,380778.6,718710.9
311410.7,291339,717729.6,717789.8,717512.4,717984.9,379417.6,718422.6
310809.6,290835.6,717440.6,717500.9,717224,717696.3,377683.8,718134.1
310567.8,290671.8,717190.2,717250.5,716973.4,717445.7,376294.4,717883.4
310656.7,290807.9,716972.6,717032.8,716755.8,717227.6,375341.8,717665.6
310503.4,290710.5,716743.4,716802.9,716526.8,716998.3,374206.5,717436.4
309939.4,290237.8,716500.4,716559.8,716283.9,716755.1,372599.9,717193.8
309647.4,290022,716289.4,716348.9,716073.2,716544.4,371229.2,716983
309731.9,290147.9,716109.3,716169.3,715893.1,716364.3,370326.8,716802.4
309683.3,290143.4,715922.9,715983,715706.2,716177.6,369365.4,716616
309165.2,289705.1,715714.9,715774.5,715498.5,715969.5,367886.6,716408.3
308806.7,289421.9,715529.3,715589,715313.2,715784.3,366508.5,716222.9
308870.7,289526.5,715379.8,715439.5,715164.1,715634.9,365627.1,716073.7
308922,289613.1,715232.9,715292,715016.8,715487.3,364820.8,715926.5
308488.9,289250.3,715060.5,715119.3,714844.6,715314.8,363504.9,715753.8
308075.2,288913.9,714901.6,714960.4,714686.3,715155.9,362135.8,715595.1
308103.5,288984.6,714776.6,714835.2,714560.6,715030.6,361261.4,715469.8
308229.9,289141.7,714663.6,714721.9,714447.3,714917.4,360577.1,715356.7
307895.2,288866.1,714525.5,714583.9,714309.7,714779.6,359428.7,715218.6
307450.8,288493.6,714386.8,714445.3,714170.8,714640.6,358084.9,715080
307436.5,288523,714282.7,714340.8,714066.9,714536.5,357205.8,714976.3
307607.4,288715.9,714193.7,714251.4,713977.8,714447.4,356614.2,714887.3
307369.3,288524.3,714078.1,714136.1,713862.3,714331.9,355630.8,714771.4
306888,288116.3,713953,714010.7,713736.8,714206.9,354315.1,714646.4
306809.5,288083.7,713862.2,713919.3,713645.8,714115.8,353404,714555.7
307001.7,288291.6,713793,713850.1,713577,714046.3,352862,714486.3
306871.2,288199.5,713699.9,713757.1,713484.2,713953.3,352041.8,714393.3
306404.1,287803.6,713594.9,713652,713379,713848.7,350807.1,714288.4
306256,287708.2,713517.2,713574.1,713301.3,713770.4,349868.8,714210.4
306439.3,287912,713462.3,713519.2,713246.7,713715.8,349351.4,714155.7
306413.2,287915.1,713392.4,713449.2,713176.9,713646.4,348682.8,714085.9
305955,287517.8,713299.1,713355.6,713083.4,713552.6,347517,713992.4
305741.4,287357.1,713230,713286.1,713014.1,713483.4,346544.2,713923.3
305920.9,287556.6,713189.3,713245.4,712973.2,713443.1,346045.6,713882.5
305981.3,287637.6,713135.9,713191.8,712919.8,713389.6,345500.2,713829.2
305563.9,287274.9,713052.9,713109.1,712836.8,713306.4,344431.5,713746.6
305279.3,287043.2,712987.6,713043.4,712771.6,713241.1,343424.5,713681.3
305416.7,287202.1,712952.2,713007.8,712736.6,713205.9,342902,713646
305571.1,287367.6,712917.3,712972.8,712701.8,713170.8,342480.2,713610.6
305236.9,287079.7,712851.3,712906.3,712635.4,713104.6,341546.1,713544.8
304884.9,286784.5,712787.7,712842.7,712572.1,713041.1,340517,713481.7
304967,286891.7,712757.6,712812.6,712542.2,713011.1,339965.3,713451.4
305159.2,287094.1,712731.4,712786.3,712516.3,712984.8,339610,713425.2
304900.9,286875.1,712676.3,712730.8,712460.8,712929.3,338803.5,713370.1
304501.8,286534.1,712620.8,712674.8,712405.1,712873.9,337772,713314.5
304530.7,286590.3,712592.7,712646.8,712377.1,712846.1,337177.3,713286.8
304754.5,286820.1,712575.1,712629.4,712359.4,712828.8,336871.9,713269.6
304609.2,286702.9,712536.3,712589.8,712320.2,712789.1,336214.6,713230.1
304188.8,286338,712480.5,712533.9,712264.6,712733.3,335195.2,713174.1
304153.3,286334.8,712456.8,712510,712241.3,712709.6,334554.2,713150.3
304391.6,286580.8,712449.6,712502.6,712234,712702.5,334286.3,713143.7
304329.9,286542.5,712418.2,712471,712202.1,712670.6,333756.4,713112.3
303902.3,286165.6,712365.5,712418,712149.3,712618,332775.1,713059.7
303789.6,286087.2,712341.2,712393.1,712125.2,712594.1,332077,713035.6
304023.9,286327,712339.9,712392.7,712124.8,712593.1,331814.2,713035.1
304053.1,286365.6,712316.4,712368.8,712101.1,712569.6,331401.2,713011.1
303649.4,286009.3,712269.3,712321.3,712053.9,712522.7,330487.3,712964.1
303460.9,285861.8,712243.2,712295.1,712028,712496.7,329736.2,712938.1
303665.3,286072.8,712242.2,712293.7,712026.8,712495.3,329453.9,712936.9
303783.1,286197.8,712230.1,712280.8,712015.1,712484,329158.6,712925.4
303423.9,285879.6,712189.1,712237.9,711974.9,712443.8,328335.3,712885.1
303150.7,285650.5,712156.4,712203.8,711943,712411.8,327526.5,712853.3
303311.2,285825.1,712156.6,712202.7,711943.6,712411.9,327212.5,712854
303499.9,286017,712154.3,712199.6,711941.6,712410.1,327006.8,712852
303212.1,285766.3,712120.4,712164,711908.6,712376.9,326299.2,712819.2
302888.9,285489.3,712089.8,712131.2,711879.1,712347.7,325463.2,712789.5
302994.4,285606.7,712087.8,712127.9,711878.1,712346.3,325087.6,712788.1
303230.6,285836.6,712092.3,712131.2,711882.8,712350.9,324938,712792.5
303036.6,285669,712067.7,712104.8,711858.7,712327.1,324357.2,712768.8
302659.2,285341.8,712034.1,712069.2,711825.9,712294.5,323502.5,712736.2
302688.7,285391.8,712027,712061,711819.4,712287.8,323065.6,712729.7
302934.2,285637.1,712032.1,712064.8,711824.3,712293.2,322939.5,712734.9
302838.7,285560.3,712017.3,712048.9,711810.2,712279.3,322489.7,712721
302438.2,285203.8,711984.1,712013.3,711778.6,712246.8,321649.3,712688.9
302388.9,285180.7,711975,712002.8,711770.6,712238.6,321143.4,712680.5
302646.4,285436.2,711985.5,712012.4,711781.3,712249.6,321035.1,712691.5
302636,285436.5,711975.8,712001.3,711772.2,712240.3,320702.5,712682.6
302236.6,285080.6,711940.9,711964.4,711738.6,712206.8,319893,712648.7
302128.3,285004.3,711931.2,711952.6,711729.3,712197.9,319337.9,712639.8
302380.5,285254.4,711945,711965.1,711743.4,712211.6,319220.3,712653.9
302463.4,285340.7,711943.4,711962.4,711742.3,712210.6,318995.9,712652.7
302072.9,284990,711910.2,711927.3,711710.1,712178.3,318238.2,712620.1
301872,284824.6,711893.1,711907.9,711694,712162,317605.4,712603.9
302088.4,285044,711902.6,711916.4,711703.8,712172.1,317457.2,712614
302247.1,285203,711907.1,711919.8,711708.6,712176.9,317323.3,712618.9
301925.8,284919.5,711880.8,711890.7,711683.1,712151.2,316667.5,712593.7
301661.2,284692.3,711861,711868.6,711664.6,712132.4,315988.1,712574.9
301824.2,284860.8,711872.2,711878.6,711676.2,712144.5,315788.5,712586.5
302031,285060.8,711883.2,711888.5,711687.3,712155.5,315719.6,712597.5
301772.1,284828.2,711859.8,711862.9,711665,712132.9,315159,712574.9
301454.7,284551.9,711838.2,711838.2,711644.7,712112.6,314443.7,712554.1
301566.9,284673.8,711846.7,711845.4,711653.6,712121.5,314187.1,712563
301820.3,284918.4,711858.8,711857.3,711665.6,712133.7,314162.1,712575.6
301644.2,284759.4,711840.9,711837.2,711648.4,712116.7,313710.7,712558.4
301273.3,284430.1,711815.8,711809.1,711624.4,712092.6,312971.2,712534.8
301309,284484.4,711819.1,711810.6,711628.4,712096.8,312635.8,712538.7
301571,284743.5,711832.8,711823.3,711642.6,712110.8,312625.9,712552.1
301498.7,284686.4,711822.8,711811.1,711632.8,712101.1,312305.4,712542.9
301108.9,284335.3,711795.2,711780.5,711606,712074.3,311578.1,712515.9
301058.7,284304.3,711792.9,711775.9,711604.8,712073.3,311164.7,712514.4
301321.9,284563.8,711812.4,711794.4,711624.7,712092.9,311155.3,712534.5
301343.6,284593,711809.5,711790,711622.2,712090.3,310946.8,712532
300960.8,284249.5,711782.1,711758.6,711595.6,712063.9,310256.2,712505.5
300840.5,284157.7,711778,711752.3,711592.8,712060.6,309785.8,712502.4
301081.9,284395.9,711792.6,711766.1,711608.1,712076.1,309750.3,712517.1
301195.6,284510.6,711798.1,711769.5,711613.3,712081.8,309646.7,712522.9
300839.6,284187.1,711770.9,711738.9,711587.5,712055.4,309010.1,712496.9
300639.4,284016.9,711762.6,711726,711579.8,712047.5,308463.1,712489
300851.8,284228.9,711777.6,711739.2,711595,712062.6,308392,712504.2
301031.8,284403.3,711784.8,711744.9,711602.1,712069.8,308362.8,712511.4
300736.6,284135.7,711763.3,711719,711581.9,712049.4,307818.7,712490.6
300465.1,283901.8,711747.5,711697.3,711567.2,712034.6,307216.1,712475.7
300621.3,284062.8,711761.1,711707.6,711581.1,712048.6,307089.4,712489.9
300858.4,284290.2,711775.3,711719.2,711595.4,712063.1,307121.3,712504
300641.2,284092.2,711757.8,711689.5,711578.8,712046.5,306679.4,712487.3
300304.9,283793.8,711731.6,711532.9,711557.4,712024.6,306028.4,712465.1
300410.4,283907.8,711730.4,711211.9,711566.5,712034,305838.8,712473.9
300676.7,284162,711745.1,710981.1,711584.3,712051.8,305908,712491.2
300541.1,284038.7,711731.1,710171.6,711572.1,712039.7,305572.3,712479.1
300174.8,283708.2,711704.9,708757.3,711548.3,712016.1,304908.6,712455
300196.2,283742.3,711712.1,707887.8,711556.6,712024.6,304636,712463.4
300481.3,284019,711733.3,707608.5,711577.9,712046.4,304714.3,712485.1
300445.9,283990.9,711728.7,706858.1,711574.4,712042.8,304502.8,712481.6
300062.6,283641.9,711700.3,705393.2,711548.4,712016.3,303850.7,712455
300011.2,283608.7,711701.3,704432.9,711550.8,712018.6,303501.9,712456.8
300278.7,283868.7,711719.2,704146.4,711568.9,712037,303556.9,712475
300329.9,283922.4,711719.4,703612.6,711569.4,712037,303442.5,712475.7
299956,283583.3,711693.3,702308.9,711544.5,712012,302827.5,712450.4
299822.4,283473.5,711687.4,701287.6,711539.9,712007.5,302400,712445.4
300065.4,283709.7,711705.3,700971.8,711558.3,712025.8,302426.1,712463.9
300199.6,283837.5,711712.8,700596.8,711566.2,712033.6,302407.8,712471.8
299864,283530,711688.2,699425.8,711542.9,712010.2,301856.3,712448.3
299659.4,283355.3,711679.7,698331.8,711535.2,712002.9,301366.9,712440.3
299865.7,283558.1,711698.7,697955.2,711554.3,712021.9,301347.8,712459
300072.2,283755.4,711711.4,697700.1,711567,712034.9,301403.4,712472.1
299800.4,283507.7,711691.9,696676.4,711548.1,712016.3,300945,712453.6
299519.3,283259.8,711674.2,695497.9,711531.3,711999.3,300393,712436.3
299673.3,283414.9,711688.1,695030.2,711545.1,712013,300311.3,712450.1
299919.8,283647.8,711704.3,694847.2,711561.8,712029.9,300408.2,712466.6
299717.7,283464.1,711688.9,693980.4,711546.9,712014.9,300042.7,712451.3
299389.7,283171.2,711669.5,692761.8,711527.9,711996.2,299453.6,712431.3
299485.9,283275.4,711680.6,692193.3,711539.8,712007.3,299304.1,712441.3
299771.9,283549.9,711702.6,692062.1,711561.6,712029.7,299444.5,712462.4
299658.8,283447.8,711694,691365.9,711553,712021,299195.5,712452.6
299283.2,283109.1,711670.2,690126.3,711529.9,711997.5,298583.2,712427.1
299287.7,283128.5,711671.9,689428.3,711531.9,711999.9,298336.3,712427.6
299574.5,283406.4,711692.2,689293.5,711552.5,712020.8,298462.9,712446.8
299570,283402.3,711692.4,688774.3,711553.1,712020.9,298331.3,712446.1
