EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
407999.700,-750000.100,14268.550,345490.300,-178496.900,304724.300,264679.100,-283488.900,0.000
508106.500,-750000.100,-334583.800,232974.200,-257401.000,457369.400,38251.080,-242398.000,0.000
710968.300,-469187.400,-368434.600,479217.000,-392294.500,571048.500,-328880.600,-187931.900,0.000
750000.100,10546.270,531606.300,462430.000,7917.882,582337.100,-166233.200,25538.840,0.000
750000.100,620145.400,750000.100,505182.400,385488.300,727843.800,343347.500,331801.800,0.000
750000.100,674237.200,750000.100,750000.100,544033.900,750000.100,541721.900,460130.300,0.000
750000.100,673838.800,750000.100,750000.100,723266.900,750000.100,625449.600,561991.100,0.000
750000.100,673726.900,678872.600,750000.100,673410.300,750000.100,615107.400,642810.800,0.000
750000.100,697177.900,750000.100,750000.100,658298.300,750000.100,589142.500,640958.600,0.000
750000.100,750000.100,750000.100,750000.100,681291.800,750000.100,593891.900,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,740012.600,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,721269.600,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,692022.800,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
722435.700,665427.800,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
696523.800,641883.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
673227.600,620719.700,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
651435.400,600949.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
631093.800,582531.400,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
612844.900,566033.000,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
596428.300,551182.900,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
580939.100,537190.900,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
566097.100,523802.300,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
552699.100,511739.000,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
540680.800,500915.000,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
529300.700,490661.800,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
518168.400,480643.600,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
507972.900,471475.700,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
498901.800,463318.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
490361.000,455642.700,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
481835.600,447977.600,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
473892.300,440845.200,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
466882.300,434551.400,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
460342.100,428676.600,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
453686.300,422702.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
447367.600,417041.200,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
441843.400,412090.500,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
436770.100,407543.300,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
431546.600,402857.800,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
426392.600,398234.600,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
421915.300,394226.700,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
417915.600,390644.000,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
413786.800,386941.700,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
409558.100,383157.400,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
405868.500,379862.700,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
402665.200,376998.700,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
399377.300,374055.800,750000.100,750000.100,750000.100,750000.100,742247.100,750000.100,0.000
395872.400,370921.500,750000.100,750000.100,750000.100,750000.100,732385.000,750000.100,0.000
392789.600,368172.500,750000.100,750000.100,750000.100,750000.100,723106.100,750000.100,0.000
390205.600,365863.600,750000.100,750000.100,750000.100,750000.100,714602.800,750000.100,0.000
387626.300,363558.300,750000.100,750000.100,750000.100,750000.100,706349.900,750000.100,0.000
384693.300,360933.600,750000.100,750000.100,750000.100,750000.100,697855.800,750000.100,0.000
382072.300,358600.200,750000.100,750000.100,750000.100,750000.100,689776.000,750000.100,0.000
379950.300,356714.600,750000.100,750000.100,750000.100,750000.100,682426.700,750000.100,0.000
377897.000,354883.200,750000.100,750000.100,750000.100,750000.100,675366.300,750000.100,0.000
375495.100,352736.100,750000.100,750000.100,750000.100,750000.100,668060.800,750000.100,0.000
373236.100,350729.900,750000.100,750000.100,750000.100,750000.100,660964.600,750000.100,0.000
371460.200,349155.000,750000.100,750000.100,750000.100,750000.100,654533.100,750000.100,0.000
369824.500,347699.200,750000.100,750000.100,750000.100,750000.100,648448.600,750000.100,0.000
367846.100,345935.600,750000.100,750000.100,750000.100,750000.100,642117.400,750000.100,0.000
365876.000,344189.200,750000.100,750000.100,750000.100,750000.100,635827.100,750000.100,0.000
364361.200,342849.400,750000.100,750000.100,750000.100,750000.100,630130.200,750000.100,0.000
363047.200,341684.100,750000.100,750000.100,750000.100,750000.100,624821.100,750000.100,0.000
361446.400,340258.700,750000.100,750000.100,750000.100,750000.100,619328.000,750000.100,0.000
359715.500,338722.500,750000.100,750000.100,750000.100,750000.100,613715.800,750000.100,0.000
358402.900,337568.600,750000.100,750000.100,750000.100,750000.100,608615.600,750000.100,0.000
357362.900,336651.800,750000.100,750000.100,750000.100,750000.100,603965.400,750000.100,0.000
356077.900,335508.500,750000.100,750000.100,749977.300,750000.100,599170.400,750000.100,0.000
354563.300,334166.600,748474.100,748535.300,748242.900,748739.300,594145.600,749159.900,0.000
353370.900,333118.000,746833.000,746894.100,746602.300,747097.400,589500.100,747517.800,0.000
352528.300,332378.800,745287.300,745348.600,745057.600,745551.400,585360.200,745971.800,0.000
351530.400,331498.700,743798.300,743859.500,743568.900,744061.700,581187.600,744482.400,0.000
350200.700,330324.300,742350.800,742412.000,742122.100,742613.800,576676.900,743034.000,0.000
349123.800,329378.400,740983.000,741043.800,740755.400,741245.600,572438.800,741665.300,0.000
348419.600,328762.800,739696.400,739757.200,739469.600,739958.800,568712.900,740378.100,0.000
347650.400,328084.300,738461.400,738522.100,738235.100,738723.300,565044.900,739142.800,0.000
346509.400,327075.000,737251.500,737312.500,737025.600,737513.200,561005.800,737932.900,0.000
345516.600,326208.500,736107.400,736168.700,735881.900,736368.800,557113.800,736788.600,0.000
344919.100,325691.800,735040.600,735102.000,734815.900,735301.900,553733.300,735721.500,0.000
344330.800,325179.400,734015.300,734076.100,733790.600,734276.100,550485.900,734695.300,0.000
343348.800,324313.600,733005.600,733067.000,732781.900,733266.300,546869.900,733685.600,0.000
342421.400,323505.700,732048.100,732109.300,731825.100,732308.300,543273.800,732727.900,0.000
341891.900,323051.200,731158.900,731220.000,730935.900,731418.800,540159.600,731838.600,0.000
341458.800,322676.400,730310.100,730370.900,730087.500,730569.800,537272.100,730989.100,0.000
340653.000,321968.900,729470.700,729531.300,729248.300,729729.900,534042.600,730149.300,0.000
339769.300,321197.200,728663.900,728724.500,728441.900,728922.500,530693.800,729342.400,0.000
339264.400,320764.300,727917.500,727978.800,727696.100,728176.300,527783.200,728596.300,0.000
338944.900,320491.800,727213.100,727273.900,726991.500,727471.200,525180.800,727891.500,0.000
338311.900,319936.500,726514.100,726575.100,726293.300,726772.100,522309.400,727192.400,0.000
337476.100,319202.700,725834.100,725895.000,725613.800,726092.100,519194.900,726512.200,0.000
336995.200,318791.200,725211.100,725272.100,724991.000,725469.200,516467.900,725889.000,0.000
336772.800,318609.600,724629.400,724690.400,724409.200,724887.100,514112.800,725307.300,0.000
336311.000,318210.200,724057.000,724117.700,723837.100,724314.700,511583.300,724734.500,0.000
335549.400,317543.800,723488.100,723548.900,723268.700,723745.700,508708.800,724165.600,0.000
335080.700,317144.300,722966.600,723027.200,722747.100,723223.600,506134.900,723643.700,0.000
334895.800,316990.300,722481.000,722541.400,722261.900,722737.800,503954.400,723158.600,0.000
334552.100,316691.100,722002.300,722062.700,721783.800,722259.100,501688.800,722679.600,0.000
333858.100,316085.100,721522.700,721583.200,721304.000,721779.200,499035.100,722199.900,0.000
333363.200,315663.400,721078.300,721139.000,720859.900,721334.800,496565.200,721755.800,0.000
333216.200,315546.800,720678.200,720739.000,720459.800,720934.400,494540.300,721355.800,0.000
332994.200,315355.700,720284.400,720345.000,720066.100,720540.400,492528.400,720961.400,0.000
332382.000,314820.400,719880.200,719940.600,719661.600,720135.900,490099.600,720557.500,0.000
331858.900,314371.900,719501.100,719561.500,719282.800,719756.700,487717.100,720178.500,0.000
331713.900,314255.500,719165.600,719226.100,718947.300,719421.300,485790.000,719843.100,0.000
331606.600,314170.300,718846.700,718907.100,718628.400,719102.500,483998.500,719524.300,0.000
331087.600,313713.800,718509.900,718570.600,718292.200,718765.900,481793.800,719187.800,0.000
330557.500,313258.400,718188.800,718249.400,717971.400,718444.800,479524.300,718866.800,0.000
330410.000,313142.100,717909.100,717969.600,717691.900,718164.800,477690.400,718586.600,0.000
330361.100,313107.600,717642.300,717702.800,717424.900,717897.800,476053.400,718319.800,0.000
329942.300,312742.700,717361.700,717422.300,717144.700,717616.900,474064.300,718039.600,0.000
329416.900,312288.000,717090.100,717150.500,716873.500,717345.100,471904.800,717768.100,0.000
329237.000,312142.100,716854.800,716914.900,716637.800,717109.600,470127.800,717532.400,0.000
329236.100,312151.500,716636.600,716697.000,716419.800,716891.600,468629.400,717314.800,0.000
328928.000,311884.500,716401.700,716462.400,716185.100,716656.700,466854.400,717079.900,0.000
328389.200,311415.800,716167.000,716227.700,715950.600,716422.000,464790.500,716845.100,0.000
328172.500,311239.600,715966.000,716027.000,715749.900,716221.200,463049.800,716644.600,0.000
328207.100,311284.600,715786.900,715847.900,715570.600,716042.400,461652.600,716465.800,0.000
328017.500,311126.300,715599.900,715661.100,715383.500,715855.300,460086.900,716278.600,0.000
327508.600,310682.700,715402.100,715463.400,715186.000,715657.100,458146.800,716081.000,0.000
327254.700,310475.000,715230.200,715291.500,715014.300,715485.000,456449.800,715909.500,0.000
327296.500,310531.700,715083.100,715144.100,714867.200,715337.900,455146.900,715762.300,0.000
327193.300,310447.900,714928.100,714988.900,714712.200,715183.200,453754.500,715607.500,0.000
326690.500,309994.700,714757.300,714818.000,714541.600,715012.100,451898.800,715436.800,0.000
326393.300,309741.600,714608.600,714669.400,714393.200,714863.200,450208.800,715288.400,0.000
326450.700,309812.800,714485.600,714546.400,714269.900,714740.200,448970.700,715165.300,0.000
326431.500,309806.300,714362.800,714423.800,714147.000,714617.300,447744.600,715042.800,0.000
325977.500,309398.100,714214.000,714275.300,713998.700,714468.400,446026.500,714894.100,0.000
325636.200,309105.300,714085.400,714146.700,713869.900,714339.800,444358.500,714765.800,0.000
325684.500,309171.700,713989.300,714050.100,713773.700,714243.900,443170.000,714669.300,0.000
325735.200,309234.600,713891.300,713951.800,713675.600,714145.500,442074.100,714571.300,0.000
325344.800,308883.500,713765.300,713826.300,713550.100,714019.800,440509.000,714446.100,0.000
324937.100,308523.500,713645.400,713706.300,713430.300,713899.600,438846.900,714326.300,0.000
324938.200,308544.800,713562.300,713622.800,713347.100,713816.100,437649.200,714242.700,0.000
325053.600,308666.100,713485.700,713546.300,713270.800,713739.800,436671.800,714166.800,0.000
324770.900,308413.000,713382.000,713442.500,713166.900,713636.000,435289.800,714062.600,0.000
324341.100,308030.300,713276.500,713337.300,713061.400,713530.400,433670.200,713957.500,0.000
324293.300,308008.900,713205.900,713266.300,712991.100,713459.800,432468.600,713886.900,0.000
324426.600,308148.900,713144.600,713205.100,712929.500,713398.700,431560.200,713825.600,0.000
324232.500,307977.800,713063.100,713123.600,712847.700,713317.000,430343.500,713744.000,0.000
323775.000,307569.900,712966.500,713026.900,712751.400,713220.300,428765.100,713647.700,0.000
323672.200,307495.300,712901.600,712962.300,712686.800,713155.600,427545.200,713583.400,0.000
323833.400,307658.400,712856.700,712917.300,712641.900,713110.800,426703.800,713538.500,0.000
323738.000,307578.700,712792.600,712853.100,712577.700,713046.700,425645.700,713474.500,0.000
323294.500,307178.400,712710.900,712771.700,712496.400,712965.200,424152.000,713393.100,0.000
323125.700,307042.700,712652.100,712713.100,712438.100,712906.500,422906.800,713334.600,0.000
323276.900,307198.600,712614.600,712674.900,712399.800,712868.600,422084.900,713296.700,0.000
323265.900,307195.600,712564.200,712624.900,712349.500,712818.400,421166.000,713246.700,0.000
322847.400,306816.300,712491.100,712551.600,712276.600,712745.300,419767.800,713173.400,0.000
322627.100,306631.300,712437.600,712497.900,712222.800,712691.500,418510.700,713119.800,0.000
322754.800,306764.100,712408.300,712468.900,712193.800,712662.300,417694.800,713091.100,0.000
322819.500,306831.200,712373.000,712433.400,712158.700,712626.900,416898.300,713056.000,0.000
322464.900,306507.200,712311.600,712371.900,712097.200,712565.300,415621.400,712994.600,0.000
322175.200,306252.300,712258.900,712319.600,712044.900,712512.900,414336.900,712942.400,0.000
322256.000,306340.200,712230.500,712291.200,712016.400,712484.700,413502.000,712914.100,0.000
322385.800,306471.300,712205.600,712266.600,711991.400,712460.200,412812.000,712889.500,0.000
