Real Time,Elapsed Time,Event
1745446224.370979,0.000,Start Trial 2 - Forward
1745446226.373287,2.002,Start Flashing - Forward
1745446226.373287,2.002,Flash [Left]
1745446226.7757308,2.405,Flash [Right]
1745446227.178041,2.807,Flash [Left]
1745446227.5800385,3.209,Flash [Backward]
1745446227.9824977,3.612,Flash [Right]
1745446228.3855693,4.015,Flash [Backward]
1745446228.7868266,4.416,Flash [Left]
1745446229.1889384,4.818,Flash [Right]
1745446229.5911813,5.220,Flash [Backward]
1745446229.9937317,5.623,Flash [Left]
1745446230.3967774,6.026,Flash [Right]
1745446230.798225,6.427,Flash [Backward]
1745446231.2007504,6.830,Flash [Forward]
1745446231.6032481,7.232,Flash [Right]
1745446232.0050097,7.634,Flash [Forward]
1745446232.4081593,8.037,Flash [Left]
1745446232.809313,8.438,Flash [Backward]
1745446233.2116275,8.841,Flash [Backward]
1745446233.613678,9.243,Flash [Backward]
1745446234.0158916,9.645,Flash [Backward]
1745446234.418546,10.048,Flash [Backward]
1745446234.8200755,10.449,Flash [Right]
1745446235.2224777,10.851,Flash [Backward]
1745446235.6246037,11.254,Flash [Right]
1745446236.0276842,11.657,Flash [Backward]
1745446236.4292374,12.058,End Flashing - Forward
1745446246.4299598,22.059,Baseline - Forward
1745446246.4299598,22.059,End Trial 2 - Forward
