Real Time,Elapsed Time,Event
1745192772.6229215,0.000,Start Trial 1 - Forward
1745192774.6250997,2.002,Start Flashing - Forward
1745192774.6261175,2.003,"Flash ['Backward', 'Forward']"
1745192774.8278635,2.205,"Flash ['Right', 'Forward']"
1745192775.030749,2.408,"Flash ['Left', 'Backward']"
1745192775.2323556,2.609,"Flash ['Forward', 'Backward']"
1745192775.4348936,2.812,"Flash ['Forward', 'Backward']"
1745192775.6374776,3.015,"Flash ['Backward', 'Left']"
1745192775.8400452,3.217,"Flash ['Left', 'Right']"
1745192776.042881,3.420,"Flash ['Left', 'Backward']"
1745192776.2446654,3.622,"Flash ['Backward', 'Forward']"
1745192776.4471166,3.824,"Flash ['Left', 'Right']"
1745192776.6492162,4.026,"Flash ['Right', 'Forward']"
1745192776.8527532,4.230,"Flash ['Left', 'Right']"
1745192777.054758,4.432,"Flash ['Right', 'Left']"
1745192777.257281,4.634,"Flash ['Right', 'Backward']"
1745192777.4599452,4.837,"Flash ['Right', 'Left']"
1745192777.6626859,5.040,"Flash ['Left', 'Right']"
1745192777.8646154,5.242,"Flash ['Forward', 'Right']"
1745192778.0671473,5.444,"Flash ['Backward', 'Right']"
1745192778.269569,5.647,"Flash ['Right', 'Left']"
1745192778.472133,5.849,"Flash ['Left', 'Backward']"
1745192778.6749687,6.052,"Flash ['Backward', 'Right']"
1745192778.8769934,6.254,"Flash ['Left', 'Right']"
1745192779.0797887,6.457,"Flash ['Backward', 'Forward']"
1745192779.283684,6.661,"Flash ['Left', 'Right']"
1745192779.4853368,6.862,"Flash ['Forward', 'Left']"
1745192779.6896257,7.067,"Flash ['Right', 'Left']"
1745192779.8915474,7.269,"Flash ['Forward', 'Backward']"
1745192780.0939474,7.471,"Flash ['Right', 'Forward']"
1745192780.296652,7.674,"Flash ['Right', 'Backward']"
1745192780.4983194,7.875,"Flash ['Backward', 'Right']"
1745192780.7010005,8.078,"Flash ['Right', 'Forward']"
1745192780.9029853,8.280,"Flash ['Right', 'Left']"
1745192781.1054833,8.483,"Flash ['Right', 'Left']"
1745192781.3079257,8.685,"Flash ['Right', 'Forward']"
1745192781.5110896,8.888,"Flash ['Backward', 'Forward']"
1745192781.7124188,9.089,"Flash ['Left', 'Backward']"
1745192781.9159057,9.293,"Flash ['Left', 'Right']"
1745192782.1173942,9.494,"Flash ['Right', 'Backward']"
1745192782.3200746,9.697,"Flash ['Forward', 'Backward']"
1745192782.5218654,9.899,"Flash ['Forward', 'Left']"
1745192782.7249196,10.102,"Flash ['Forward', 'Backward']"
1745192782.9268422,10.304,"Flash ['Backward', 'Forward']"
1745192783.1288347,10.506,"Flash ['Right', 'Forward']"
1745192783.3324897,10.710,"Flash ['Left', 'Forward']"
1745192783.5337718,10.911,"Flash ['Left', 'Right']"
1745192783.7360752,11.113,"Flash ['Forward', 'Right']"
1745192783.9384162,11.315,"Flash ['Forward', 'Backward']"
1745192784.1417677,11.519,"Flash ['Left', 'Backward']"
1745192784.3441634,11.721,"Flash ['Left', 'Forward']"
1745192784.5455928,11.923,"Flash ['Forward', 'Right']"
1745192784.7478032,12.125,End Flashing - Forward
1745192794.7487035,22.126,Baseline - Forward
1745192794.7487035,22.126,End Trial 1 - Forward
