Real Time,Elapsed Time,Event
1745448234.8492312,0.000,Start Trial 8 - Backward
1745448236.8516972,2.002,Start Flashing - Backward
1745448236.8516972,2.002,Flash [Left]
1745448237.254583,2.405,Flash [Right]
1745448237.6561086,2.807,Flash [Right]
1745448238.057907,3.209,Flash [Left]
1745448238.4608567,3.612,Flash [Right]
1745448238.8624947,4.013,Flash [Left]
1745448239.264978,4.416,Flash [Backward]
1745448239.6670415,4.818,Flash [Left]
1745448240.069733,5.221,Flash [Forward]
1745448240.4715753,5.622,Flash [Left]
1745448240.8741684,6.025,Flash [Backward]
1745448241.2762158,6.427,Flash [Right]
1745448241.6782935,6.829,Flash [Backward]
1745448242.0802996,7.231,Flash [Backward]
1745448242.4831464,7.634,Flash [Backward]
1745448242.88546,8.036,Flash [Right]
1745448243.286795,8.438,Flash [Right]
1745448243.6900055,8.841,Flash [Forward]
1745448244.091926,9.243,Flash [Right]
1745448244.4936714,9.644,Flash [Left]
1745448244.8967237,10.047,Flash [Right]
1745448245.298712,10.449,Flash [Left]
1745448245.7005966,10.851,Flash [Backward]
1745448246.1029956,11.254,Flash [Left]
1745448246.505018,11.656,Flash [Right]
1745448246.9075,12.058,End Flashing - Backward
1745448256.9082015,22.059,Baseline - Backward
1745448256.9082015,22.059,End Trial 8 - Backward
