Real Time,Elapsed Time,Event
1745191786.197372,0.000,Start Trial 13 - Left
1745191788.1993003,2.002,Start Flashing - Left
1745191788.1993003,2.002,"Flash ['Backward', 'Right']"
1745191788.4026551,2.205,"Flash ['Forward', 'Left']"
1745191788.6042764,2.407,"Flash ['Forward', 'Left']"
1745191788.8074653,2.610,"Flash ['Forward', 'Left']"
1745191789.0102015,2.813,"Flash ['Left', 'Forward']"
1745191789.213373,3.016,"Flash ['Backward', 'Right']"
1745191789.4156835,3.218,"Flash ['Left', 'Forward']"
1745191789.6178768,3.421,"Flash ['Left', 'Right']"
1745191789.8203897,3.623,"Flash ['Left', 'Right']"
1745191790.022811,3.825,"Flash ['Left', 'Backward']"
1745191790.2246826,4.027,"Flash ['Backward', 'Left']"
1745191790.426588,4.229,"Flash ['Forward', 'Backward']"
1745191790.6287544,4.431,"Flash ['Right', 'Left']"
1745191790.831277,4.634,"Flash ['Forward', 'Backward']"
1745191791.0334418,4.836,"Flash ['Forward', 'Left']"
1745191791.2351465,5.038,"Flash ['Forward', 'Left']"
1745191791.4382646,5.241,"Flash ['Backward', 'Forward']"
1745191791.640161,5.443,"Flash ['Forward', 'Right']"
1745191791.8428967,5.646,"Flash ['Left', 'Forward']"
1745191792.0446444,5.847,"Flash ['Forward', 'Backward']"
1745191792.246564,6.049,"Flash ['Right', 'Forward']"
1745191792.448857,6.251,"Flash ['Right', 'Forward']"
1745191792.651323,6.454,"Flash ['Forward', 'Backward']"
1745191792.8549562,6.658,"Flash ['Left', 'Forward']"
1745191793.0571108,6.860,"Flash ['Backward', 'Left']"
1745191793.2583625,7.061,"Flash ['Left', 'Right']"
1745191793.4605246,7.263,"Flash ['Forward', 'Right']"
1745191793.6630063,7.466,"Flash ['Backward', 'Right']"
1745191793.8661222,7.669,"Flash ['Right', 'Forward']"
1745191794.0678833,7.871,"Flash ['Left', 'Forward']"
1745191794.270606,8.073,"Flash ['Forward', 'Backward']"
1745191794.4728568,8.275,"Flash ['Forward', 'Left']"
1745191794.674723,8.477,"Flash ['Backward', 'Forward']"
1745191794.8768167,8.679,"Flash ['Backward', 'Right']"
1745191795.0795503,8.882,"Flash ['Backward', 'Forward']"
1745191795.281446,9.084,"Flash ['Forward', 'Right']"
1745191795.4841285,9.287,"Flash ['Left', 'Right']"
1745191795.6874175,9.490,"Flash ['Left', 'Forward']"
1745191795.8895118,9.692,"Flash ['Forward', 'Backward']"
1745191796.0913575,9.894,"Flash ['Right', 'Forward']"
1745191796.294135,10.097,"Flash ['Backward', 'Left']"
1745191796.4967182,10.299,"Flash ['Backward', 'Right']"
1745191796.6983585,10.501,"Flash ['Forward', 'Right']"
1745191796.9016483,10.704,"Flash ['Backward', 'Right']"
1745191797.1034527,10.906,"Flash ['Forward', 'Backward']"
1745191797.3054373,11.108,"Flash ['Left', 'Backward']"
1745191797.50755,11.310,"Flash ['Right', 'Backward']"
1745191797.7104447,11.513,"Flash ['Right', 'Backward']"
1745191797.9130857,11.716,"Flash ['Right', 'Backward']"
1745191798.1155152,11.918,"Flash ['Left', 'Right']"
1745191798.3164678,12.119,End Flashing - Left
1745191808.317164,22.120,Baseline - Left
1745191808.317164,22.120,End Trial 13 - Left
