Real Time,Elapsed Time,Event
1745192993.8713713,0.000,Start Trial 11 - Left
1745192995.873342,2.002,Start Flashing - Left
1745192995.8738673,2.002,"Flash ['Forward', 'Left']"
1745192996.0766754,2.205,"Flash ['Left', 'Backward']"
1745192996.2797844,2.408,"Flash ['Right', 'Left']"
1745192996.4814582,2.610,"Flash ['Right', 'Forward']"
1745192996.6841633,2.813,"Flash ['Left', 'Forward']"
1745192996.8863034,3.015,"Flash ['Right', 'Left']"
1745192997.0891771,3.218,"Flash ['Backward', 'Forward']"
1745192997.2907364,3.419,"Flash ['Forward', 'Backward']"
1745192997.4931152,3.622,"Flash ['Forward', 'Right']"
1745192997.6963208,3.825,"Flash ['Left', 'Forward']"
1745192997.898817,4.027,"Flash ['Left', 'Right']"
1745192998.1005452,4.229,"Flash ['Forward', 'Backward']"
1745192998.3029528,4.432,"Flash ['Right', 'Backward']"
1745192998.5048766,4.634,"Flash ['Forward', 'Left']"
1745192998.707496,4.836,"Flash ['Backward', 'Forward']"
1745192998.9100556,5.039,"Flash ['Backward', 'Right']"
1745192999.1131241,5.242,"Flash ['Backward', 'Left']"
1745192999.3163645,5.445,"Flash ['Backward', 'Left']"
1745192999.5186696,5.647,"Flash ['Backward', 'Left']"
1745192999.7203915,5.849,"Flash ['Forward', 'Left']"
1745192999.923119,6.052,"Flash ['Backward', 'Forward']"
1745193000.1247272,6.253,"Flash ['Right', 'Forward']"
1745193000.3269641,6.456,"Flash ['Left', 'Right']"
1745193000.5301046,6.659,"Flash ['Left', 'Forward']"
1745193000.7318811,6.861,"Flash ['Backward', 'Right']"
1745193000.935141,7.064,"Flash ['Forward', 'Left']"
1745193001.1368484,7.265,"Flash ['Backward', 'Left']"
1745193001.3399785,7.469,"Flash ['Left', 'Right']"
1745193001.5411465,7.670,"Flash ['Forward', 'Right']"
1745193001.7443237,7.873,"Flash ['Left', 'Backward']"
1745193001.9460106,8.075,"Flash ['Forward', 'Backward']"
1745193002.1479425,8.277,"Flash ['Forward', 'Right']"
1745193002.3509989,8.480,"Flash ['Forward', 'Right']"
1745193002.5541816,8.683,"Flash ['Backward', 'Right']"
1745193002.7570107,8.886,"Flash ['Backward', 'Right']"
1745193002.9585702,9.087,"Flash ['Backward', 'Right']"
1745193003.1615696,9.290,"Flash ['Forward', 'Right']"
1745193003.363015,9.492,"Flash ['Right', 'Left']"
1745193003.5660892,9.695,"Flash ['Left', 'Right']"
1745193003.7674928,9.896,"Flash ['Right', 'Forward']"
1745193003.9695003,10.098,"Flash ['Backward', 'Forward']"
1745193004.1728058,10.301,"Flash ['Left', 'Right']"
1745193004.3750467,10.504,"Flash ['Backward', 'Left']"
1745193004.5766144,10.705,"Flash ['Left', 'Right']"
1745193004.7798247,10.908,"Flash ['Left', 'Right']"
1745193004.9811378,11.110,"Flash ['Forward', 'Left']"
1745193005.1835766,11.312,"Flash ['Right', 'Left']"
1745193005.3866606,11.515,"Flash ['Left', 'Forward']"
1745193005.5883596,11.717,"Flash ['Left', 'Right']"
1745193005.7918632,11.920,"Flash ['Backward', 'Left']"
1745193005.9932406,12.122,End Flashing - Left
1745193015.9939718,22.123,Baseline - Left
1745193015.9939718,22.123,End Trial 11 - Left
