Real Time,Elapsed Time,Event
1745193170.853328,0.000,Start Trial 19 - Right
1745193172.8554006,2.002,Start Flashing - Right
1745193172.85642,2.003,"Flash ['Backward', 'Forward']"
1745193173.0578794,2.205,"Flash ['Backward', 'Left']"
1745193173.2604706,2.407,"Flash ['Right', 'Left']"
1745193173.4626462,2.609,"Flash ['Forward', 'Left']"
1745193173.6645372,2.811,"Flash ['Right', 'Forward']"
1745193173.8673673,3.014,"Flash ['Left', 'Forward']"
1745193174.0695798,3.216,"Flash ['Forward', 'Left']"
1745193174.2713382,3.418,"Flash ['Forward', 'Backward']"
1745193174.474751,3.621,"Flash ['Left', 'Backward']"
1745193174.676151,3.823,"Flash ['Backward', 'Forward']"
1745193174.879195,4.026,"Flash ['Forward', 'Left']"
1745193175.0811954,4.228,"Flash ['Forward', 'Right']"
1745193175.284068,4.431,"Flash ['Backward', 'Left']"
1745193175.4857526,4.632,"Flash ['Forward', 'Right']"
1745193175.6880896,4.835,"Flash ['Right', 'Forward']"
1745193175.8898761,5.037,"Flash ['Left', 'Right']"
1745193176.0919824,5.239,"Flash ['Backward', 'Forward']"
1745193176.2941835,5.441,"Flash ['Left', 'Forward']"
1745193176.4976246,5.644,"Flash ['Left', 'Right']"
1745193176.6995125,5.846,"Flash ['Left', 'Backward']"
1745193176.9023392,6.049,"Flash ['Forward', 'Left']"
1745193177.1044466,6.251,"Flash ['Right', 'Left']"
1745193177.3062918,6.453,"Flash ['Backward', 'Right']"
1745193177.5093796,6.656,"Flash ['Backward', 'Left']"
1745193177.7119756,6.859,"Flash ['Right', 'Left']"
1745193177.914326,7.061,"Flash ['Left', 'Right']"
1745193178.117284,7.264,"Flash ['Forward', 'Backward']"
1745193178.3188965,7.466,"Flash ['Left', 'Right']"
1745193178.5220563,7.669,"Flash ['Left', 'Forward']"
1745193178.7244668,7.871,"Flash ['Right', 'Left']"
1745193178.926177,8.073,"Flash ['Right', 'Left']"
1745193179.1291902,8.276,"Flash ['Left', 'Backward']"
1745193179.3303685,8.477,"Flash ['Backward', 'Right']"
1745193179.5328493,8.680,"Flash ['Right', 'Backward']"
1745193179.7358897,8.883,"Flash ['Forward', 'Backward']"
1745193179.9384165,9.085,"Flash ['Backward', 'Left']"
1745193180.1412828,9.288,"Flash ['Left', 'Right']"
1745193180.34311,9.490,"Flash ['Forward', 'Backward']"
1745193180.5457878,9.692,"Flash ['Left', 'Backward']"
1745193180.7484562,9.895,"Flash ['Left', 'Right']"
1745193180.9502223,10.097,"Flash ['Right', 'Left']"
1745193181.1533592,10.300,"Flash ['Right', 'Left']"
1745193181.3557603,10.502,"Flash ['Left', 'Backward']"
1745193181.5568805,10.704,"Flash ['Forward', 'Backward']"
1745193181.7596343,10.906,"Flash ['Forward', 'Left']"
1745193181.9629438,11.110,"Flash ['Left', 'Forward']"
1745193182.1647534,11.311,"Flash ['Right', 'Left']"
1745193182.3670113,11.514,"Flash ['Backward', 'Forward']"
1745193182.5706034,11.717,"Flash ['Left', 'Forward']"
1745193182.7725327,11.919,"Flash ['Left', 'Forward']"
1745193182.9744587,12.121,End Flashing - Right
1745193192.9752584,22.122,Baseline - Right
1745193192.9752584,22.122,End Trial 19 - Right
