Real Time,Elapsed Time,Event
1745193192.9762669,0.000,Start Trial 20 - Right
1745193194.978137,2.002,Start Flashing - Right
1745193194.9787495,2.002,"Flash ['Backward', 'Right']"
1745193195.1810944,2.205,"Flash ['Right', 'Backward']"
1745193195.3845856,2.408,"Flash ['Backward', 'Left']"
1745193195.586061,2.610,"Flash ['Left', 'Right']"
1745193195.7880077,2.812,"Flash ['Right', 'Forward']"
1745193195.9912503,3.015,"Flash ['Backward', 'Left']"
1745193196.1931043,3.217,"Flash ['Right', 'Forward']"
1745193196.3960662,3.420,"Flash ['Backward', 'Forward']"
1745193196.598315,3.622,"Flash ['Left', 'Backward']"
1745193196.8002932,3.824,"Flash ['Forward', 'Left']"
1745193197.0024412,4.026,"Flash ['Left', 'Backward']"
1745193197.205673,4.229,"Flash ['Backward', 'Left']"
1745193197.4089098,4.433,"Flash ['Right', 'Left']"
1745193197.6108894,4.635,"Flash ['Forward', 'Left']"
1745193197.8139803,4.838,"Flash ['Left', 'Backward']"
1745193198.015981,5.040,"Flash ['Backward', 'Forward']"
1745193198.2188284,5.243,"Flash ['Forward', 'Right']"
1745193198.4213123,5.445,"Flash ['Backward', 'Left']"
1745193198.6230783,5.647,"Flash ['Right', 'Forward']"
1745193198.8251133,5.849,"Flash ['Forward', 'Backward']"
1745193199.0272279,6.051,"Flash ['Forward', 'Backward']"
1745193199.2293766,6.253,"Flash ['Left', 'Backward']"
1745193199.432717,6.456,"Flash ['Left', 'Forward']"
1745193199.6354082,6.659,"Flash ['Left', 'Backward']"
1745193199.8371227,6.861,"Flash ['Forward', 'Right']"
1745193200.040044,7.064,"Flash ['Left', 'Backward']"
1745193200.2420282,7.266,"Flash ['Backward', 'Forward']"
1745193200.4442377,7.468,"Flash ['Forward', 'Backward']"
1745193200.647598,7.671,"Flash ['Backward', 'Left']"
1745193200.848679,7.872,"Flash ['Backward', 'Forward']"
1745193201.0511396,8.075,"Flash ['Backward', 'Right']"
1745193201.252818,8.277,"Flash ['Forward', 'Right']"
1745193201.4552727,8.479,"Flash ['Right', 'Backward']"
1745193201.6581025,8.682,"Flash ['Forward', 'Left']"
1745193201.860329,8.884,"Flash ['Left', 'Right']"
1745193202.0630634,9.087,"Flash ['Right', 'Forward']"
1745193202.2652583,9.289,"Flash ['Backward', 'Forward']"
1745193202.468234,9.492,"Flash ['Forward', 'Right']"
1745193202.6693192,9.693,"Flash ['Right', 'Backward']"
1745193202.872147,9.896,"Flash ['Forward', 'Backward']"
1745193203.0738506,10.098,"Flash ['Backward', 'Forward']"
1745193203.2770207,10.301,"Flash ['Forward', 'Right']"
1745193203.4785626,10.502,"Flash ['Left', 'Backward']"
1745193203.6808228,10.705,"Flash ['Backward', 'Left']"
1745193203.8843613,10.908,"Flash ['Left', 'Backward']"
1745193204.0861216,11.110,"Flash ['Right', 'Left']"
1745193204.288317,11.312,"Flash ['Left', 'Backward']"
1745193204.491428,11.515,"Flash ['Backward', 'Left']"
1745193204.6933062,11.717,"Flash ['Right', 'Backward']"
1745193204.897074,11.921,"Flash ['Forward', 'Left']"
1745193205.0985258,12.122,End Flashing - Right
1745193215.0990965,22.123,Baseline - Right
1745193215.0990965,22.123,End Trial 20 - Right
