Real Time,Elapsed Time,Event
1745258489.2292476,0.000,Start Trial 16 - Right
1745258491.2317598,2.003,Start Flashing - Right
1745258491.2317598,2.003,Flash [Forward]
1745258491.6339178,2.405,Flash [Right]
1745258492.0364354,2.807,Flash [Left]
1745258492.4386845,3.209,Flash [Right]
1745258492.8404617,3.611,Flash [Backward]
1745258493.2426536,4.013,Flash [Forward]
1745258493.6450658,4.416,Flash [Backward]
1745258494.0467765,4.818,Flash [Left]
1745258494.449402,5.220,Flash [Left]
1745258494.8517563,5.623,Flash [Left]
1745258495.2544847,6.025,Flash [Backward]
1745258495.6566694,6.427,Flash [Backward]
1745258496.0589652,6.830,Flash [Right]
1745258496.4617503,7.233,Flash [Backward]
1745258496.8639328,7.635,Flash [Left]
1745258497.265789,8.037,Flash [Right]
1745258497.6676357,8.438,Flash [Right]
1745258498.0707579,8.842,Flash [Left]
1745258498.473115,9.244,Flash [Backward]
1745258498.876075,9.647,Flash [Left]
1745258499.2773645,10.048,Flash [Backward]
1745258499.6799755,10.451,Flash [Right]
1745258500.082046,10.853,Flash [Left]
1745258500.4842467,11.255,Flash [Forward]
1745258500.8870246,11.658,Flash [Forward]
1745258501.2889712,12.060,End Flashing - Right
1745258511.2896795,22.060,Baseline - Right
1745258511.2896795,22.060,End Trial 16 - Right
