Real Time,Elapsed Time,Event
1745258268.618709,0.000,Start Trial 6 - Backward
1745258270.6206963,2.002,Start Flashing - Backward
1745258270.621708,2.003,Flash [Backward]
1745258271.0231478,2.404,Flash [Left]
1745258271.425932,2.807,Flash [Left]
1745258271.8280058,3.209,Flash [Left]
1745258272.2307913,3.612,Flash [Backward]
1745258272.6324127,4.014,Flash [Left]
1745258273.034837,4.416,Flash [Left]
1745258273.4374306,4.819,Flash [Backward]
1745258273.8399186,5.221,Flash [Backward]
1745258274.2416034,5.623,Flash [Left]
1745258274.6442893,6.026,Flash [Left]
1745258275.0462353,6.428,Flash [Forward]
1745258275.4483097,6.830,Flash [Backward]
1745258275.850753,7.232,Flash [Forward]
1745258276.252766,7.634,Flash [Left]
1745258276.654708,8.036,Flash [Backward]
1745258277.057014,8.438,Flash [Backward]
1745258277.4594777,8.841,Flash [Forward]
1745258277.8625805,9.244,Flash [Backward]
1745258278.264743,9.646,Flash [Forward]
1745258278.6663678,10.048,Flash [Left]
1745258279.0696144,10.451,Flash [Backward]
1745258279.4717307,10.853,Flash [Left]
1745258279.8736947,11.255,Flash [Right]
1745258280.27611,11.657,Flash [Backward]
1745258280.6777864,12.059,End Flashing - Backward
1745258290.6782722,22.060,Baseline - Backward
1745258290.6782722,22.060,End Trial 6 - Backward
