Real Time,Elapsed Time,Event
1745189593.2236812,0.000,Start Trial 9 - Backward
1745189595.2260368,2.002,Start Flashing - Backward
1745189595.2270536,2.003,"Flash ['Left', 'Backward']"
1745189595.4282188,2.205,"Flash ['Backward', 'Forward']"
1745189595.6301534,2.406,"Flash ['Backward', 'Forward']"
1745189595.8322995,2.609,"Flash ['Right', 'Forward']"
1745189596.0348399,2.811,"Flash ['Forward', 'Left']"
1745189596.2368429,3.013,"Flash ['Forward', 'Right']"
1745189596.4392657,3.216,"Flash ['Right', 'Backward']"
1745189596.6416035,3.418,"Flash ['Backward', 'Left']"
1745189596.8439112,3.620,"Flash ['Forward', 'Left']"
1745189597.0461295,3.822,"Flash ['Left', 'Right']"
1745189597.2481089,4.024,"Flash ['Right', 'Forward']"
1745189597.4507625,4.227,"Flash ['Left', 'Right']"
1745189597.6523683,4.429,"Flash ['Left', 'Forward']"
1745189597.8552384,4.632,"Flash ['Backward', 'Right']"
1745189598.05675,4.833,"Flash ['Forward', 'Right']"
1745189598.2586057,5.035,"Flash ['Backward', 'Forward']"
1745189598.4617043,5.238,"Flash ['Right', 'Left']"
1745189598.6631317,5.439,"Flash ['Forward', 'Right']"
1745189598.865673,5.642,"Flash ['Backward', 'Right']"
1745189599.0674286,5.844,"Flash ['Right', 'Backward']"
1745189599.271056,6.047,"Flash ['Backward', 'Right']"
1745189599.473022,6.249,"Flash ['Backward', 'Left']"
1745189599.6758702,6.452,"Flash ['Right', 'Backward']"
1745189599.8769708,6.653,"Flash ['Right', 'Forward']"
1745189600.0799026,6.856,"Flash ['Forward', 'Left']"
1745189600.2819383,7.058,"Flash ['Backward', 'Forward']"
1745189600.4842134,7.261,"Flash ['Right', 'Left']"
1745189600.6867452,7.463,"Flash ['Backward', 'Left']"
1745189600.8886423,7.665,"Flash ['Left', 'Backward']"
1745189601.0916145,7.868,"Flash ['Backward', 'Forward']"
1745189601.2937787,8.070,"Flash ['Right', 'Left']"
1745189601.496074,8.272,"Flash ['Forward', 'Right']"
1745189601.6983366,8.475,"Flash ['Forward', 'Backward']"
1745189601.9009514,8.677,"Flash ['Left', 'Backward']"
1745189602.1029475,8.879,"Flash ['Forward', 'Left']"
1745189602.3057995,9.082,"Flash ['Left', 'Forward']"
1745189602.5081713,9.284,"Flash ['Left', 'Forward']"
1745189602.7108107,9.487,"Flash ['Right', 'Left']"
1745189602.913141,9.689,"Flash ['Right', 'Left']"
1745189603.1146488,9.891,"Flash ['Backward', 'Forward']"
1745189603.3176756,10.094,"Flash ['Right', 'Backward']"
1745189603.519451,10.296,"Flash ['Forward', 'Left']"
1745189603.7215605,10.498,"Flash ['Right', 'Forward']"
1745189603.9242942,10.701,"Flash ['Backward', 'Forward']"
1745189604.125766,10.902,"Flash ['Forward', 'Left']"
1745189604.3287811,11.105,"Flash ['Left', 'Forward']"
1745189604.5311356,11.307,"Flash ['Backward', 'Forward']"
1745189604.7329955,11.509,"Flash ['Left', 'Forward']"
1745189604.9357405,11.712,"Flash ['Forward', 'Left']"
1745189605.1379638,11.914,"Flash ['Forward', 'Left']"
1745189605.3398626,12.116,End Flashing - Backward
1745189615.340868,22.117,Baseline - Backward
1745189615.340868,22.117,End Trial 9 - Backward
