Real Time,Elapsed Time,Event
1745189460.5216863,0.000,Start Trial 3 - Forward
1745189462.523903,2.002,Start Flashing - Forward
1745189462.5244246,2.003,"Flash ['Left', 'Forward']"
1745189462.726274,2.205,"Flash ['Backward', 'Left']"
1745189462.9285717,2.407,"Flash ['Right', 'Left']"
1745189463.1314929,2.610,"Flash ['Backward', 'Left']"
1745189463.334155,2.812,"Flash ['Left', 'Right']"
1745189463.5362031,3.015,"Flash ['Left', 'Backward']"
1745189463.7387085,3.217,"Flash ['Left', 'Backward']"
1745189463.9399352,3.418,"Flash ['Right', 'Forward']"
1745189464.1426075,3.621,"Flash ['Backward', 'Forward']"
1745189464.3441756,3.822,"Flash ['Forward', 'Left']"
1745189464.5472121,4.026,"Flash ['Forward', 'Right']"
1745189464.7495546,4.228,"Flash ['Backward', 'Forward']"
1745189464.9521966,4.431,"Flash ['Left', 'Backward']"
1745189465.1536398,4.632,"Flash ['Backward', 'Left']"
1745189465.3565526,4.835,"Flash ['Left', 'Right']"
1745189465.5591533,5.037,"Flash ['Left', 'Right']"
1745189465.7613661,5.240,"Flash ['Forward', 'Backward']"
1745189465.9635117,5.442,"Flash ['Right', 'Forward']"
1745189466.1653686,5.644,"Flash ['Left', 'Forward']"
1745189466.3679044,5.846,"Flash ['Right', 'Forward']"
1745189466.5714493,6.050,"Flash ['Left', 'Backward']"
1745189466.773382,6.252,"Flash ['Backward', 'Forward']"
1745189466.9754314,6.454,"Flash ['Forward', 'Left']"
1745189467.1772542,6.656,"Flash ['Forward', 'Backward']"
1745189467.3803616,6.859,"Flash ['Left', 'Backward']"
1745189467.5822499,7.061,"Flash ['Backward', 'Right']"
1745189467.7839243,7.262,"Flash ['Forward', 'Backward']"
1745189467.985962,7.464,"Flash ['Left', 'Backward']"
1745189468.1880302,7.666,"Flash ['Left', 'Forward']"
1745189468.39135,7.870,"Flash ['Left', 'Backward']"
1745189468.5933485,8.072,"Flash ['Backward', 'Left']"
1745189468.7953465,8.274,"Flash ['Forward', 'Right']"
1745189468.9985723,8.477,"Flash ['Left', 'Backward']"
1745189469.2010484,8.679,"Flash ['Forward', 'Left']"
1745189469.4024518,8.881,"Flash ['Forward', 'Right']"
1745189469.6055396,9.084,"Flash ['Left', 'Right']"
1745189469.8073065,9.286,"Flash ['Right', 'Forward']"
1745189470.009819,9.488,"Flash ['Backward', 'Right']"
1745189470.2126336,9.691,"Flash ['Backward', 'Forward']"
1745189470.4146197,9.893,"Flash ['Forward', 'Right']"
1745189470.6164966,10.095,"Flash ['Right', 'Backward']"
1745189470.8188717,10.297,"Flash ['Left', 'Right']"
1745189471.022105,10.500,"Flash ['Backward', 'Right']"
1745189471.2241998,10.703,"Flash ['Left', 'Backward']"
1745189471.4265697,10.905,"Flash ['Backward', 'Right']"
1745189471.6286793,11.107,"Flash ['Backward', 'Forward']"
1745189471.8302546,11.309,"Flash ['Left', 'Right']"
1745189472.0325649,11.511,"Flash ['Backward', 'Forward']"
1745189472.2346005,11.713,"Flash ['Forward', 'Right']"
1745189472.436574,11.915,"Flash ['Left', 'Backward']"
1745189472.6391606,12.117,End Flashing - Forward
1745189482.6398494,22.118,Baseline - Forward
1745189482.6398494,22.118,End Trial 3 - Forward
