Real Time,Elapsed Time,Event
1745189438.3991761,0.000,Start Trial 2 - Forward
1745189440.4014206,2.002,Start Flashing - Forward
1745189440.4024444,2.003,"Flash ['Left', 'Right']"
1745189440.6039062,2.205,"Flash ['Right', 'Forward']"
1745189440.8058212,2.407,"Flash ['Left', 'Forward']"
1745189441.0078769,2.609,"Flash ['Right', 'Forward']"
1745189441.2105944,2.811,"Flash ['Forward', 'Left']"
1745189441.4124928,3.013,"Flash ['Left', 'Backward']"
1745189441.6157677,3.217,"Flash ['Left', 'Backward']"
1745189441.8183246,3.419,"Flash ['Backward', 'Right']"
1745189442.020932,3.622,"Flash ['Right', 'Left']"
1745189442.2229784,3.824,"Flash ['Backward', 'Right']"
1745189442.4251723,4.026,"Flash ['Backward', 'Forward']"
1745189442.627282,4.228,"Flash ['Backward', 'Left']"
1745189442.8295672,4.430,"Flash ['Left', 'Backward']"
1745189443.0325243,4.633,"Flash ['Backward', 'Left']"
1745189443.2345943,4.835,"Flash ['Backward', 'Forward']"
1745189443.4373384,5.038,"Flash ['Forward', 'Backward']"
1745189443.6402085,5.241,"Flash ['Left', 'Right']"
1745189443.8421087,5.443,"Flash ['Left', 'Backward']"
1745189444.045133,5.646,"Flash ['Left', 'Forward']"
1745189444.2466545,5.847,"Flash ['Forward', 'Left']"
1745189444.448859,6.050,"Flash ['Backward', 'Left']"
1745189444.6513958,6.252,"Flash ['Backward', 'Forward']"
1745189444.8537366,6.455,"Flash ['Backward', 'Forward']"
1745189445.0559294,6.657,"Flash ['Left', 'Right']"
1745189445.2582047,6.859,"Flash ['Forward', 'Backward']"
1745189445.459487,7.060,"Flash ['Right', 'Forward']"
1745189445.6616673,7.262,"Flash ['Backward', 'Forward']"
1745189445.8644788,7.465,"Flash ['Right', 'Forward']"
1745189446.0664384,7.667,"Flash ['Right', 'Left']"
1745189446.2690897,7.870,"Flash ['Right', 'Backward']"
1745189446.4713104,8.072,"Flash ['Backward', 'Forward']"
1745189446.6736562,8.274,"Flash ['Forward', 'Right']"
1745189446.8759146,8.477,"Flash ['Left', 'Forward']"
1745189447.0788524,8.680,"Flash ['Forward', 'Right']"
1745189447.2812693,8.882,"Flash ['Right', 'Forward']"
1745189447.4834073,9.084,"Flash ['Right', 'Forward']"
1745189447.6860135,9.287,"Flash ['Backward', 'Right']"
1745189447.889184,9.490,"Flash ['Left', 'Backward']"
1745189448.0916514,9.692,"Flash ['Forward', 'Backward']"
1745189448.2933156,9.894,"Flash ['Right', 'Backward']"
1745189448.49537,10.096,"Flash ['Backward', 'Right']"
1745189448.6974826,10.298,"Flash ['Forward', 'Backward']"
1745189448.9008865,10.502,"Flash ['Left', 'Right']"
1745189449.1025155,10.703,"Flash ['Left', 'Backward']"
1745189449.3052244,10.906,"Flash ['Backward', 'Right']"
1745189449.5075586,11.108,"Flash ['Right', 'Left']"
1745189449.710051,11.311,"Flash ['Backward', 'Left']"
1745189449.9127429,11.514,"Flash ['Backward', 'Left']"
1745189450.1156566,11.716,"Flash ['Forward', 'Left']"
1745189450.317384,11.918,"Flash ['Backward', 'Left']"
1745189450.5200489,12.121,End Flashing - Forward
1745189460.5206833,22.122,Baseline - Forward
1745189460.5206833,22.122,End Trial 2 - Forward
