Real Time,Elapsed Time,Event
1745446334.672506,0.000,Start Trial 7 - Backward
1745446336.6750517,2.003,Start Flashing - Backward
1745446336.6750517,2.003,Flash [Backward]
1745446337.0775394,2.405,Flash [Forward]
1745446337.4794173,2.807,Flash [Backward]
1745446337.8822536,3.210,Flash [Right]
1745446338.2844079,3.612,Flash [Left]
1745446338.6862383,4.014,Flash [Backward]
1745446339.088621,4.416,Flash [Left]
1745446339.4908707,4.818,Flash [Backward]
1745446339.8932016,5.221,Flash [Right]
1745446340.2954524,5.623,Flash [Left]
1745446340.697978,6.025,Flash [Right]
1745446341.1001432,6.428,Flash [Right]
1745446341.502219,6.830,Flash [Right]
1745446341.9042966,7.232,Flash [Right]
1745446342.3069084,7.634,Flash [Left]
1745446342.7086945,8.036,Flash [Left]
1745446343.1114306,8.439,Flash [Left]
1745446343.5130613,8.841,Flash [Right]
1745446343.9150667,9.243,Flash [Left]
1745446344.3177195,9.645,Flash [Backward]
1745446344.7201512,10.048,Flash [Backward]
1745446345.1222541,10.450,Flash [Backward]
1745446345.5240448,10.852,Flash [Forward]
1745446345.9269557,11.254,Flash [Forward]
1745446346.3282385,11.656,Flash [Left]
1745446346.7302823,12.058,End Flashing - Backward
1745446356.7312422,22.059,Baseline - Backward
1745446356.7312422,22.059,End Trial 7 - Backward
