Real Time,Elapsed Time,Event
1745446599.4020605,0.000,Start Trial 19 - Right
1745446601.4042099,2.002,Start Flashing - Right
1745446601.4052713,2.003,Flash [Backward]
1745446601.8070216,2.405,Flash [Right]
1745446602.2085056,2.806,Flash [Right]
1745446602.6114683,3.209,Flash [Left]
1745446603.0137856,3.612,Flash [Backward]
1745446603.4163353,4.014,Flash [Forward]
1745446603.819517,4.417,Flash [Right]
1745446604.221324,4.819,Flash [Backward]
1745446604.6235433,5.221,Flash [Forward]
1745446605.0267265,5.625,Flash [Forward]
1745446605.42976,6.028,Flash [Left]
1745446605.8315032,6.429,Flash [Right]
1745446606.234402,6.832,Flash [Right]
1745446606.6366198,7.235,Flash [Right]
1745446607.038088,7.636,Flash [Forward]
1745446607.4408898,8.039,Flash [Left]
1745446607.8448303,8.443,Flash [Backward]
1745446608.2468233,8.845,Flash [Backward]
1745446608.6496167,9.248,Flash [Left]
1745446609.0524914,9.650,Flash [Right]
1745446609.4547265,10.053,Flash [Left]
1745446609.8570135,10.455,Flash [Left]
1745446610.2599688,10.858,Flash [Forward]
1745446610.6624749,11.260,Flash [Backward]
1745446611.0650344,11.663,Flash [Left]
1745446611.4666948,12.065,End Flashing - Right
1745446621.467234,22.065,Baseline - Right
1745446621.467234,22.065,End Trial 19 - Right
